"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"Hertz","Amyl and The Sniffers","55","128084","45","1","spotify:track:7fri3wodaEszuJBZcGB4VF","0.329","0.913","0.104","https://open.spotify.com/track/7fri3wodaEszuJBZcGB4VF","nan","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Guided By Angels","Amyl and The Sniffers","55","128084","45","2","spotify:track:0BVI8MTzOWaXSktQTNHAwg","0.518","0.922","0.052","https://open.spotify.com/track/0BVI8MTzOWaXSktQTNHAwg","nan","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Security","Amyl and The Sniffers","55","128084","43","3","spotify:track:3JN0tKB2SQsrZINcSkVM09","0.48","0.899","0.0581","https://open.spotify.com/track/3JN0tKB2SQsrZINcSkVM09","nan","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Got You","Amyl and The Sniffers","55","128084","41","4","spotify:track:26EvVb7HxLt5fVXtNRzUEw","0.659","0.76","0.0596","https://open.spotify.com/track/26EvVb7HxLt5fVXtNRzUEw","https://p.scdn.co/mp3-preview/2a1593ace1dc037c422322e7a7cae6e3dbd2eb98?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Freaks To The Front","Amyl and The Sniffers","55","128084","39","5","spotify:track:67BccCF7UbSz4H0XaoS1KC","0.391","0.988","0.146","https://open.spotify.com/track/67BccCF7UbSz4H0XaoS1KC","nan","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Choices","Amyl and The Sniffers","55","128084","37","6","spotify:track:57sefOom0KOj9EEaQgliBJ","0.545","0.872","0.116","https://open.spotify.com/track/57sefOom0KOj9EEaQgliBJ","nan","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Maggot","Amyl and The Sniffers","55","128084","36","7","spotify:track:4IdH5a1UGhtMiCkKAdvUj9","0.385","0.917","0.0681","https://open.spotify.com/track/4IdH5a1UGhtMiCkKAdvUj9","nan","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Knifey","Amyl and The Sniffers","55","128084","37","8","spotify:track:55L9DgD7sZtwUXHZDRs4v9","0.546","0.884","0.0453","https://open.spotify.com/track/55L9DgD7sZtwUXHZDRs4v9","nan","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Some Mutts (Can't Be Muzzled)","Amyl and The Sniffers","55","128084","37","9","spotify:track:5PTXSoeCiQXnaRKjURx8m2","0.283","0.901","0.0702","https://open.spotify.com/track/5PTXSoeCiQXnaRKjURx8m2","https://p.scdn.co/mp3-preview/c6ee819ae45367ad3d4a115aa08d1bdba7e1eca5?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"No More Tears","Amyl and The Sniffers","55","128084","35","10","spotify:track:67L7IInEIzKVJA5vrsjXaU","0.224","0.982","0.052","https://open.spotify.com/track/67L7IInEIzKVJA5vrsjXaU","nan","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Mehram","Arooj Aftab","52","82320","64","1","spotify:track:2oi55VmillH7At5wHVNFbE","0.366","0.12","0.0344","https://open.spotify.com/track/2oi55VmillH7At5wHVNFbE","https://p.scdn.co/mp3-preview/c220cf73f16464ff38f0db4deadf478cd9d2714c?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Mohabbat","Arooj Aftab","52","82320","54","2","spotify:track:4lcQHckNMeUkM8jx67j28G","0.369","0.231","0.0315","https://open.spotify.com/track/4lcQHckNMeUkM8jx67j28G","nan","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Last Night","Arooj Aftab","52","82320","52","3","spotify:track:3OBkjktMqs7QJ6dOUPWTji","0.827","0.219","0.0508","https://open.spotify.com/track/3OBkjktMqs7QJ6dOUPWTji","nan","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Baghon Main","Arooj Aftab","52","82320","49","4","spotify:track:4VGFLMTNy3jr4Q1JLqV5LL","0.233","0.177","0.0351","https://open.spotify.com/track/4VGFLMTNy3jr4Q1JLqV5LL","nan","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Diya Hai","Arooj Aftab","52","82320","47","5","spotify:track:5kxJ6PiADtz7kxMr9mBYBS","0.397","0.132","0.0365","https://open.spotify.com/track/5kxJ6PiADtz7kxMr9mBYBS","nan","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Udhero Na feat. Anoushka Shankar","Arooj Aftab","52","82320","46","6","spotify:track:2yjJsfgodykCBLRGskqb5m","0.349","0.278","0.0263","https://open.spotify.com/track/2yjJsfgodykCBLRGskqb5m","nan","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Inayaat","Arooj Aftab","52","82320","43","7","spotify:track:0SvzXilENkZzu9O1NPGs2K","0.418","0.184","0.0312","https://open.spotify.com/track/0SvzXilENkZzu9O1NPGs2K","nan","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Saans Lo","Arooj Aftab","52","82320","42","8","spotify:track:6iPZbDZtoVyQv7spX7Tt8m","0.163","0.0587","0.0358","https://open.spotify.com/track/6iPZbDZtoVyQv7spX7Tt8m","nan","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Suroor","Arooj Aftab","52","82320","41","9","spotify:track:43li6JLxAxfmyVlHIbO9rn","0.534","0.302","0.0401","https://open.spotify.com/track/43li6JLxAxfmyVlHIbO9rn","nan","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Man Kunto Maula","Arooj Aftab","52","82320","37","10","spotify:track:3184CMyowuchbfDlpM1rop","0.272","0.153","0.0319","https://open.spotify.com/track/3184CMyowuchbfDlpM1rop","https://p.scdn.co/mp3-preview/0a8783e1e381778f298178fa88e6c4ae5374ef0b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"Return to Oz - ARTBAT Remix","ARTBAT","62","208487","68","1","spotify:track:0gwNGHcBRYtF7mvgUczVo1","0.854","0.93","0.0439","https://open.spotify.com/track/0gwNGHcBRYtF7mvgUczVo1","https://p.scdn.co/mp3-preview/32b9cba9b39dd2936ff2d49938ac62fc38597a34?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3BkRu2TGd2I1uBxZKddfg1","https://i.scdn.co/image/ab6761610000e5ebc1347b34c318f8af8d73bcbb"
"Horizon","ARTBAT","62","208487","65","2","spotify:track:7Mqdzo9NcZLUwTAoyV2AeE","0.647","0.66","0.0405","https://open.spotify.com/track/7Mqdzo9NcZLUwTAoyV2AeE","https://p.scdn.co/mp3-preview/fa3b6c1e24ca25afcc484ae9a83e5de50214f48b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3BkRu2TGd2I1uBxZKddfg1","https://i.scdn.co/image/ab6761610000e5ebc1347b34c318f8af8d73bcbb"
"For a Feeling (feat. RHODES)","ARTBAT","62","208487","61","3","spotify:track:1wjQEAV31X26Za9KRAmqwz","0.64","0.903","0.0358","https://open.spotify.com/track/1wjQEAV31X26Za9KRAmqwz","https://p.scdn.co/mp3-preview/6cc8295aa462689bd658bd8045fce957e6e58904?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3BkRu2TGd2I1uBxZKddfg1","https://i.scdn.co/image/ab6761610000e5ebc1347b34c318f8af8d73bcbb"
"Return to Oz (ARTBAT Remix) [Edit]","ARTBAT","62","208487","58","4","spotify:track:1wfB7VM8mtnDzcGJMln8Ls","0.622","0.908","0.0636","https://open.spotify.com/track/1wfB7VM8mtnDzcGJMln8Ls","https://p.scdn.co/mp3-preview/feeb3f58363ad43f26cccc5a7c65ab6a1bf49bfb?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3BkRu2TGd2I1uBxZKddfg1","https://i.scdn.co/image/ab6761610000e5ebc1347b34c318f8af8d73bcbb"
