"name","followers","popularity","genres","uri","url","image"
"100 gecs","455818","64","escape room| hyperpop| proto-hyperpop","spotify:artist:6PfSUFtkMVoDkx4MQkzOi3","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"21 Savage","10955885","89","atl hip hop| rap| trap","spotify:artist:1URnnhqYAYcrqrcwql10ft","https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft","https://i.scdn.co/image/ab6761610000e5ebe01decbaa565f3feaaade6a9"
"Alaina Castillo","102850","59","alt z| chill r&b| pop| social media pop","spotify:artist:0duLKMlcwhyZgqu8zSSjBp","https://open.spotify.com/artist/0duLKMlcwhyZgqu8zSSjBp","https://i.scdn.co/image/ab6761610000e5eb7dada366f9e1349644da8548"
"Amber Mark","308248","65","alternative r&b| indie r&b| indie soul| nyc pop","spotify:artist:0tbeZu9lv8YEKSQ9tZSslu","https://open.spotify.com/artist/0tbeZu9lv8YEKSQ9tZSslu","https://i.scdn.co/image/ab6761610000e5ebab93bdf2e04986a1cdbbe016"
"Anitta","11336607","85","funk carioca| funk pop| pagode baiano| pop nacional","spotify:artist:7FNnA9vBm6EKceENgCGRMb","https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb","https://i.scdn.co/image/ab6761610000e5eb835afdc1e0333889873e402a"
"Annabel","743","50","","spotify:artist:4zR2t8bagib4ozydVgb93l","https://open.spotify.com/artist/4zR2t8bagib4ozydVgb93l","https://i.scdn.co/image/ab6761610000e5eba4166a65415d528ab3aa935c"
"Arlo Parks","418191","65","indie soul| uk contemporary r&b","spotify:artist:4kIwETcbpuFgRukE8o7Opx","https://open.spotify.com/artist/4kIwETcbpuFgRukE8o7Opx","https://i.scdn.co/image/ab6761610000e5ebe553e411f88e7d3935f5b48c"
"Beach Bunny","844470","74","bubblegrunge| chicago indie| indie pop","spotify:artist:2vnB6tuQMaQpORiRdvXF9H","https://open.spotify.com/artist/2vnB6tuQMaQpORiRdvXF9H","https://i.scdn.co/image/ab6761610000e5eb46c08634e72c0e8b27e14544"
"Beach Goons","81959","49","indie garage rock| san diego indie| surf punk","spotify:artist:7Aw7RMHmISxyQBftcksDZ3","https://open.spotify.com/artist/7Aw7RMHmISxyQBftcksDZ3","https://i.scdn.co/image/ab6761610000e5eb0e274d6d7fd840c3167df17e"
"Billie Eilish","59270820","92","art pop| electropop| pop","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH","https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf"
"black midi","136853","50","art pop| noise rock| uk noise rock| uk post-punk revival","spotify:artist:7Hvq85OU8T7Hsd63zNBwaL","https://open.spotify.com/artist/7Hvq85OU8T7Hsd63zNBwaL","https://i.scdn.co/image/ab6761610000e5eb069ff978752054a7e015daab"
"BROCKHAMPTON","1953863","75","boy band| hip hop| pop| rap","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","https://open.spotify.com/artist/1Bl6wpkWCQ4KVgnASpvzzA","https://i.scdn.co/image/ab6761610000e5ebdc3c21f68fa721ebcf439dae"
"Caribou","587751","62","alternative dance| chillwave| electronica| electropop| folktronica| indie rock| indie soul| indietronica| intelligent dance music| new rave","spotify:artist:4aEnNH9PuU1HF3TsZTru54","https://open.spotify.com/artist/4aEnNH9PuU1HF3TsZTru54","https://i.scdn.co/image/ab6761610000e5ebf9da16d673af005d53bab9cc"
"Caroline Polachek","201055","67","art pop| dance pop| electropop| escape room| indie pop| indietronica| pop","spotify:artist:4Ge8xMJNwt6EEXOzVXju9a","https://open.spotify.com/artist/4Ge8xMJNwt6EEXOzVXju9a","https://i.scdn.co/image/ab6761610000e5eb387753c353b532462998f157"
"Chelsea Cutler","560182","77","alt z| electropop| pop| tropical house","spotify:artist:5JMLG56F1X5mFmWNmS0iAp","https://open.spotify.com/artist/5JMLG56F1X5mFmWNmS0iAp","https://i.scdn.co/image/ab6761610000e5ebf85d0a01d61b294e8fa0891d"
"Chris Liebing","93944","38","frankfurt electronic| german techno| minimal techno| schranz| tech house| techno","spotify:artist:21444lX8gpmOX36icLmbFI","https://open.spotify.com/artist/21444lX8gpmOX36icLmbFI","https://i.scdn.co/image/ab6761610000e5ebd816d9ab0c669a7977d820ac"
"Conan Gray","5178194","82","bedroom pop| pop","spotify:artist:4Uc8Dsxct0oMqx0P6i60ea","https://open.spotify.com/artist/4Uc8Dsxct0oMqx0P6i60ea","https://i.scdn.co/image/ab6761610000e5ebbf75259020441cce630cf0fa"
"Cuco","1626133","74","bedroom pop| dream pop","spotify:artist:2Tglaf8nvDzwSQnpSrjLHP","https://open.spotify.com/artist/2Tglaf8nvDzwSQnpSrjLHP","https://i.scdn.co/image/ab6761610000e5eb9a3033e7b6eff9ee38298a43"
"Current Joys","669782","72","indie pop| lo-fi indie","spotify:artist:0m5FakHKCQdA7UN0PIzMcL","https://open.spotify.com/artist/0m5FakHKCQdA7UN0PIzMcL","https://i.scdn.co/image/ab6761610000e5ebb8d94b72b902515ce5b13a53"
"Danny Elfman","305703","65","orchestral soundtrack| scorecore| soundtrack","spotify:artist:5qBZETtyzfYnXOobDXbmcD","https://open.spotify.com/artist/5qBZETtyzfYnXOobDXbmcD","https://i.scdn.co/image/ab6761610000e5eb6a32f746906bd9a991ba4083"
"Disclosure","2007274","78","edm| house| pop| uk dance","spotify:artist:6nS5roXSAGhTGr34W6n7Et","https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et","https://i.scdn.co/image/ab6761610000e5ebdb837f585ebd024a0221a814"
