"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"money machine","100 gecs","64","455818","71","1","spotify:track:61bwFjzXGG1x2aZsANdLyl","0.68","0.659","0.151","https://open.spotify.com/track/61bwFjzXGG1x2aZsANdLyl","https://p.scdn.co/mp3-preview/9dba27e8be4ca18702ba64c77d0a702942b1d480?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"hand crushed by a mallet","100 gecs","64","455818","67","2","spotify:track:7CUkeiG7QtB7tPU9f8SANS","0.659","0.473","0.125","https://open.spotify.com/track/7CUkeiG7QtB7tPU9f8SANS","https://p.scdn.co/mp3-preview/fdc450e716d370a782e245b5b828e89597ba7dbc?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"mememe","100 gecs","64","455818","65","3","spotify:track:2Tdkz4mLxN8szqcMeNWcI8","0.459","0.746","0.113","https://open.spotify.com/track/2Tdkz4mLxN8szqcMeNWcI8","https://p.scdn.co/mp3-preview/9797ebfe3d97f4ad3768eb46dbd0aba9bfb8f27a?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"stupid horse","100 gecs","64","455818","64","4","spotify:track:23Dapn8107GgxvXDIsPwWm","0.526","0.902","0.314","https://open.spotify.com/track/23Dapn8107GgxvXDIsPwWm","https://p.scdn.co/mp3-preview/6cab4d3e8dfac7d85b33823ba78c4401ed4de719?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"ringtone","100 gecs","64","455818","60","5","spotify:track:3VHiIVQe8Sc6gtSsTp3pDz","0.612","0.349","0.26","https://open.spotify.com/track/3VHiIVQe8Sc6gtSsTp3pDz","https://p.scdn.co/mp3-preview/63b51bd98c9894316a1796b7dca3f60712e936a0?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"ringtone (Remix) [feat. Charli XCX Rico Nasty Kero Kero Bonito]","100 gecs","64","455818","58","6","spotify:track:2T93MtJuKMzcGRTR8fdizV","0.849","0.473","0.2","https://open.spotify.com/track/2T93MtJuKMzcGRTR8fdizV","https://p.scdn.co/mp3-preview/ae79e0ddb3c4ac0c8d27bf38ed0ff4457b203fd2?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"800 db cloud","100 gecs","64","455818","56","7","spotify:track:2MLuFz9Y3Vg3PF0Yf93M5c","0.399","0.754","0.374","https://open.spotify.com/track/2MLuFz9Y3Vg3PF0Yf93M5c","https://p.scdn.co/mp3-preview/4da6ed3f5c97bb2cb01a68b30772103413a06b7b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"bloodstains","100 gecs","64","455818","56","8","spotify:track:1j581GCDFQ9P8xd6fyjgLt","0.547","0.398","0.541","https://open.spotify.com/track/1j581GCDFQ9P8xd6fyjgLt","https://p.scdn.co/mp3-preview/ae084d2b2ddaf963d6dbab89acb18b5bb056233d?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"One Step Closer - 100 gecs Reanimation","100 gecs","64","455818","55","9","spotify:track:4jM6Tl8062cc9gTJgTZTpx","0.632","0.708","0.0829","https://open.spotify.com/track/4jM6Tl8062cc9gTJgTZTpx","https://p.scdn.co/mp3-preview/2a2b8292f64ea76755b2692824bd88bf84f1c78a?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
"745 sticky","100 gecs","64","455818","55","10","spotify:track:2fwz9mBaELJCzXuEEEe35Y","0.608","0.708","0.244","https://open.spotify.com/track/2fwz9mBaELJCzXuEEEe35Y","https://p.scdn.co/mp3-preview/fdf0c1f8259993024f89ef596193610822e0494b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3","https://i.scdn.co/image/ab6761610000e5ebd77a9c855001f3a9b5815bc0"
