"name","followers","popularity","genres","uri","url","image"
"Andrea Domanick","0","0","","spotify:artist:5wrepn6BBAgrIp1cEgxy6d","https://open.spotify.com/artist/5wrepn6BBAgrIp1cEgxy6d","notAvailable"
"Black Country Rockers","120","4","","spotify:artist:2oBu081zNmGAImA0IAHgY4","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"Charlotte Adigéry","48685","43","belgian electronic| belgian indie| chamber psych| electronica","spotify:artist:0h1gX589xBKUCijeC8Bewy","https://open.spotify.com/artist/0h1gX589xBKUCijeC8Bewy","https://i.scdn.co/image/ab6761610000e5eb58dd652b0bea611d388edc62"
"Elkka","12757","41","electra| electronica| float house","spotify:artist:5Ly0z60jjgsY4rkmjRFtPS","https://open.spotify.com/artist/5Ly0z60jjgsY4rkmjRFtPS","https://i.scdn.co/image/ab6761610000e5eb0b1015b14d90885e67c06b13"
"Frankie and the Witch Fingers","29356","35","indie garage rock| neo-psychedelic","spotify:artist:5UdQDFQ3wgUPuL5kiL7KqU","https://open.spotify.com/artist/5UdQDFQ3wgUPuL5kiL7KqU","https://i.scdn.co/image/ab6761610000e5eb09e8beae46fa1842a49f2bb0"
"Heads Are Heavy","68","6","","spotify:artist:18SJLvRK2C84Ayo1owImsk","https://open.spotify.com/artist/18SJLvRK2C84Ayo1owImsk","https://i.scdn.co/image/ab6761610000e5eb251081bb7b4eac9994ebe6aa"
"JJUUJJUU","5265","11","","spotify:artist:3BUpv2goO0OTzcj7yYkRZJ","https://open.spotify.com/artist/3BUpv2goO0OTzcj7yYkRZJ","https://i.scdn.co/image/ab6761610000e5eb51ec3e0ad79f0407ed7df130"
"Kid606","10275","21","breakcore| deep idm| drill and bass| glitch| intelligent dance music| plunderphonics","spotify:artist:7kDf1ziRxPFtWbbZB1XmrM","https://open.spotify.com/artist/7kDf1ziRxPFtWbbZB1XmrM","https://i.scdn.co/image/2e2dd52def89c9e902cb4c986974f418565b2f0d"
"Kikagaku Moyo","211730","46","instrumental stoner rock| japanese psychedelic| japanese psychedelic rock| neo-psychedelic","spotify:artist:0hrb5WRiNlj8vh3WnCgXFq","https://open.spotify.com/artist/0hrb5WRiNlj8vh3WnCgXFq","https://i.scdn.co/image/ab6761610000e5eb952b074c07607f6b8afc3f93"
"Lady Wray","67738","51","alternative r&b| funk| indie soul| neo soul| soul","spotify:artist:1plioVQ0mcgAO7uhvWkJJy","https://open.spotify.com/artist/1plioVQ0mcgAO7uhvWkJJy","https://i.scdn.co/image/ab6761610000e5eb99b304bfd6eb8acdb9a1eea2"
"L'éclair","24580","37","neo-psychedelic| swiss alternative rock","spotify:artist:7iKleRyjLc8sVDN551vyiX","https://open.spotify.com/artist/7iKleRyjLc8sVDN551vyiX","https://i.scdn.co/image/ab6761610000e5ebf9e198a751f3fc6b43843c29"
"Mildlife","54104","39","neo-psychedelic","spotify:artist:1lsJmnN90u3KBvF3tGEWr3","https://open.spotify.com/artist/1lsJmnN90u3KBvF3tGEWr3","https://i.scdn.co/image/ab6761610000e5eb9d89d1b035a444eba397e87f"
"Nation of Language","40949","45","alternative dance| brooklyn indie","spotify:artist:5JWBow4ywgKNQ5HBxY8hcz","https://open.spotify.com/artist/5JWBow4ywgKNQ5HBxY8hcz","https://i.scdn.co/image/ab6761610000e5eb8f6273f30a4fa5b2175bf047"
