"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"Far Far Away","Black Country Rockers","4","120","0","1","spotify:track:0qDZmNyuDmnXn1HC5cnkzm","0.554","0.554","0.0334","https://open.spotify.com/track/0qDZmNyuDmnXn1HC5cnkzm","https://p.scdn.co/mp3-preview/cab6f892503c55bf8eb46118a3bb8e018033969e?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"Run Runaway","Black Country Rockers","4","120","4","2","spotify:track:3Ds6yoxVGJ1JxaIa4TxccO","0.557","0.749","0.0536","https://open.spotify.com/track/3Ds6yoxVGJ1JxaIa4TxccO","https://p.scdn.co/mp3-preview/c0bbb8753228a9acbdb328309b7662c2a70269e2?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"Everyday","Black Country Rockers","4","120","0","3","spotify:track:4EYfQohWpEWE48dUHSjpHQ","0.586","0.249","0.0275","https://open.spotify.com/track/4EYfQohWpEWE48dUHSjpHQ","https://p.scdn.co/mp3-preview/962a0a9b05b315be1acaf31cc56a98ac780d0dc2?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"My Oh My","Black Country Rockers","4","120","0","4","spotify:track:7I1kinmRs9MMKc8uJfGu0o","0.423","0.611","0.0336","https://open.spotify.com/track/7I1kinmRs9MMKc8uJfGu0o","https://p.scdn.co/mp3-preview/a4d286f7d76e358bfd748765851164945bd8569c?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"Cum on Feel the Noize","Black Country Rockers","4","120","0","5","spotify:track:2kZdEYjD2CDWHTzFbEFL9o","0.41","0.927","0.0632","https://open.spotify.com/track/2kZdEYjD2CDWHTzFbEFL9o","https://p.scdn.co/mp3-preview/c8a54ba2818bde10a2be7ed931309513b2f9fc32?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"How Does It Feel","Black Country Rockers","4","120","0","6","spotify:track:2HvNPX0AnseqQzbZNWazRJ","0.445","0.367","0.0305","https://open.spotify.com/track/2HvNPX0AnseqQzbZNWazRJ","https://p.scdn.co/mp3-preview/e7a7d5a9f1eaf2d3d85b50248d2abb3b6bb94b83?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"Mama Weer All Crazee Now","Black Country Rockers","4","120","0","7","spotify:track:5zNsYq0hzAuTd3UhuJ3tba","0.517","0.922","0.152","https://open.spotify.com/track/5zNsYq0hzAuTd3UhuJ3tba","https://p.scdn.co/mp3-preview/2be378a43975c3bc3454d09b9d42e2040fddfff7?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"Coz I Lov You","Black Country Rockers","4","120","0","8","spotify:track:4fHz3BZMbnjcVddb1UIac2","0.595","0.481","0.0385","https://open.spotify.com/track/4fHz3BZMbnjcVddb1UIac2","https://p.scdn.co/mp3-preview/c620967a97bdc8a82a3a348413386ceac183efac?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"Gudbuy T'Jane","Black Country Rockers","4","120","0","9","spotify:track:6opFn8IdwvAPmsrkOxO7eu","0.538","0.665","0.0334","https://open.spotify.com/track/6opFn8IdwvAPmsrkOxO7eu","https://p.scdn.co/mp3-preview/68117e9dcbca413a526a3c9f75f7296d2f33559c?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
"My Friend Stan","Black Country Rockers","4","120","0","10","spotify:track:5kFGkxy6JvJzwBKt7noOvC","0.71","0.654","0.0287","https://open.spotify.com/track/5kFGkxy6JvJzwBKt7noOvC","https://p.scdn.co/mp3-preview/10a8d9f1d6040ab23433b21e8ecd69549bbb99ed?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2oBu081zNmGAImA0IAHgY4","https://i.scdn.co/image/ab67616d0000b273521fa91dff05f7ac9b26c3f7"
