"name","followers","popularity","genres","uri","url","image"
"1991","26598","53","dancefloor dnb| drum and bass","spotify:artist:2IP71LH7CbwddhsEXBI0fy","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"4B","70917","49","electro house| electronic trap","spotify:artist:0LIl9fjMPEZp8UDiL8Yuo4","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"A-Trak","120412","66","canadian electronic| edm| electro house| turntablism","spotify:artist:3TaUSUXn41GixL7zbvrIDt","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"AC Slater","88178","57","bass house| brostep| edm| electro house| electronic trap| fidget house| house","spotify:artist:6EqFMCnVGBRNmwPlk2f3Uc","https://open.spotify.com/artist/6EqFMCnVGBRNmwPlk2f3Uc","https://i.scdn.co/image/ab6761610000e5eb19722afb48a44d2a65ed7b02"
"Alesso","3784970","80","dance pop| edm| electro house| pop| pop dance| tropical house","spotify:artist:4AVFqumd2ogHFlRbKIjp1t","https://open.spotify.com/artist/4AVFqumd2ogHFlRbKIjp1t","https://i.scdn.co/image/ab6761610000e5ebb5712a1a45f469f906023e7f"
"Aly & Fila","151778","54","progressive house| progressive trance| trance| uplifting trance","spotify:artist:2hL1EouqXLtBEB6JKnPF0h","https://open.spotify.com/artist/2hL1EouqXLtBEB6JKnPF0h","https://i.scdn.co/image/ab6761610000e5eb708c6be46aed23f2de0b157d"
"Alyx Ander","6565","40","","spotify:artist:4gxmaAX3cWO9PUVmEYVAhd","https://open.spotify.com/artist/4gxmaAX3cWO9PUVmEYVAhd","https://i.scdn.co/image/ab6761610000e5eb11cc802639031e574262c986"
"Astrix","322845","57","full on| nitzhonot| psychedelic trance","spotify:artist:3dUltShd2gJQc98Kc7Syit","https://open.spotify.com/artist/3dUltShd2gJQc98Kc7Syit","https://i.scdn.co/image/ab6761610000e5eb9c426303d84dedd83417ac46"
"Audien","164431","63","edm| electro house| electropop| pop dance| pop edm| progressive electro house| progressive house| tropical house","spotify:artist:4xnMDfgEmXZEEDdITKcGuE","https://open.spotify.com/artist/4xnMDfgEmXZEEDdITKcGuE","https://i.scdn.co/image/ab6761610000e5eb275d687af88bb66830756ff6"
"Bear Grillz","135002","51","brostep| dubstep| edm| electro house| electronic trap| gaming dubstep| melodic dubstep","spotify:artist:04vdWVjgi45nrMAxeCEVQe","https://open.spotify.com/artist/04vdWVjgi45nrMAxeCEVQe","https://i.scdn.co/image/ab6761610000e5eb0ed7fc4a686c294c53d148ce"
