"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"Heads Will Roll - A-Trak Remix","A-Trak","66","120412","66","1","spotify:track:2idmlkd8oUaQvYEtINpLBX","0.744","0.614","0.0838","https://open.spotify.com/track/2idmlkd8oUaQvYEtINpLBX","nan","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Ask Me","A-Trak","66","120412","60","2","spotify:track:05QGJav2nGJ9qdQ3vG9A9t","0.803","0.935","0.032","https://open.spotify.com/track/05QGJav2nGJ9qdQ3vG9A9t","https://p.scdn.co/mp3-preview/407bfb04ec155fbce681e526c4d882d73c655776?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Prayers Up (feat. Travis Scott & A-Trak)","A-Trak","66","120412","59","3","spotify:track:4KaIJ1FWXUoAAnOts1YWjD","0.821","0.637","0.161","https://open.spotify.com/track/4KaIJ1FWXUoAAnOts1YWjD","https://p.scdn.co/mp3-preview/dd84e9dc18b425c3a70366b219e87643c7680b44?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Nobody Else - A-Trak Remix","A-Trak","66","120412","49","4","spotify:track:49FgzQTuNMYzhIHpVPBcca","0.872","0.687","0.0813","https://open.spotify.com/track/49FgzQTuNMYzhIHpVPBcca","https://p.scdn.co/mp3-preview/70f0b368c7ee88b410b7520d994c302b70b0500b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Barbra Streisand","A-Trak","66","120412","56","5","spotify:track:6HkmOvGpoYrJ1BdppBNp2t","0.707","0.813","0.339","https://open.spotify.com/track/6HkmOvGpoYrJ1BdppBNp2t","https://p.scdn.co/mp3-preview/42ac7cff39cefb79dce66cc274904d15ed44a892?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Magnets - A-Trak Remix","A-Trak","66","120412","55","6","spotify:track:2M0wZ9iOCsul9PgKCHnIWT","0.618","0.824","0.0937","https://open.spotify.com/track/2M0wZ9iOCsul9PgKCHnIWT","nan","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Nonchalant","A-Trak","66","120412","54","7","spotify:track:2TETqexWXvMdhbYy7kJrZa","0.833","0.895","0.126","https://open.spotify.com/track/2TETqexWXvMdhbYy7kJrZa","https://p.scdn.co/mp3-preview/dd206a7bb1a99c6cc0cb4c2c79dbea0904e111cc?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Coming Home","A-Trak","66","120412","53","8","spotify:track:0eOcjJgpO8XdJbPMYJgKqq","0.786","0.803","0.164","https://open.spotify.com/track/0eOcjJgpO8XdJbPMYJgKqq","https://p.scdn.co/mp3-preview/46bc7bcdbbc1079cf62b1a189fc62463079e8262?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"My Own Way","A-Trak","66","120412","52","9","spotify:track:7Csd6ozp0Ci3ZDfvRgzrWz","0.702","0.843","0.0515","https://open.spotify.com/track/7Csd6ozp0Ci3ZDfvRgzrWz","https://p.scdn.co/mp3-preview/13b7e4049868618b76875339f4a2063879730bf1?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Spit","A-Trak","66","120412","51","10","spotify:track:5wPlDch91Wy9O61JdfTun3","0.846","0.816","0.0501","https://open.spotify.com/track/5wPlDch91Wy9O61JdfTun3","https://p.scdn.co/mp3-preview/a35a550e46f2e7ca0ae0eaa91669f4393287daf3?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Brazil","A.M.C","46","24408","54","1","spotify:track:24abahS4tYAxt7lgSBk7Vc","0.714","0.988","0.0714","https://open.spotify.com/track/24abahS4tYAxt7lgSBk7Vc","https://p.scdn.co/mp3-preview/f9c4249e00ef3c83991292ea9173147fa663a4bb?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Tap Ho - A.M.C Remix","A.M.C","46","24408","49","2","spotify:track:6Ac8oHWs9EzB2RfzWCOqAX","0.52","0.929","0.17","https://open.spotify.com/track/6Ac8oHWs9EzB2RfzWCOqAX","https://p.scdn.co/mp3-preview/43caf65e9fd3df9bc4cdb664af8e15e4bd4c1b28?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Heavyweight - A.M.C Remix","A.M.C","46","24408","43","3","spotify:track:0gZ9cs4Lykf5bX0rnZDrCF","0.612","0.986","0.189","https://open.spotify.com/track/0gZ9cs4Lykf5bX0rnZDrCF","https://p.scdn.co/mp3-preview/78bcd7080854fc11a0fd5a616a866c5b9494edb0?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Void","A.M.C","46","24408","40","4","spotify:track:0p1PEZDgUxUy8P3e6sLwxe","0.595","0.972","0.426","https://open.spotify.com/track/0p1PEZDgUxUy8P3e6sLwxe","https://p.scdn.co/mp3-preview/6a5d25b781405d30cf60014172674cdbe8f04e77?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Followers - A.M.C Remix","A.M.C","46","24408","39","5","spotify:track:0NxUJeZywUa0dWbr4udfrf","0.332","0.937","0.165","https://open.spotify.com/track/0NxUJeZywUa0dWbr4udfrf","https://p.scdn.co/mp3-preview/e1e46dc56fc40e49d39f0e5a94381cdc9132a7e5?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Gunshot (A.M.C Remix)","A.M.C","46","24408","38","6","spotify:track:6eoV9CPrJKJijQi9RUYV5p","0.551","0.995","0.219","https://open.spotify.com/track/6eoV9CPrJKJijQi9RUYV5p","https://p.scdn.co/mp3-preview/dfdee32a12b212ffbce29d093ce87b3b365fdd3b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Bass","A.M.C","46","24408","36","7","spotify:track:0XCox2fjGn6dTd0H9jUZrq","0.829","0.99","0.326","https://open.spotify.com/track/0XCox2fjGn6dTd0H9jUZrq","https://p.scdn.co/mp3-preview/e0cda8d67c0a1f2b1612ea3bbf08f19d49bd1b8d?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Voyage","A.M.C","46","24408","36","8","spotify:track:2nMc5ErYzwMBK4eZiJg1cf","0.519","0.94","0.152","https://open.spotify.com/track/2nMc5ErYzwMBK4eZiJg1cf","https://p.scdn.co/mp3-preview/36b2304e554987fa814078cf78b6b0ade71194ac?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Eject","A.M.C","46","24408","36","9","spotify:track:2W7nvWIQ1bo5Vfe63ncUmP","0.326","0.99","0.424","https://open.spotify.com/track/2W7nvWIQ1bo5Vfe63ncUmP","https://p.scdn.co/mp3-preview/ebe5c0902b365918ced516fedf2326bde1876988?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Bomb Squad - A.M.C Forever Dub Version","A.M.C","46","24408","35","10","spotify:track:0fP0UPEqSJ0Lv1fNm5KVAZ","0.661","0.98","0.225","https://open.spotify.com/track/0fP0UPEqSJ0Lv1fNm5KVAZ","https://p.scdn.co/mp3-preview/75b66ea19dad883984a91df4c7719d8dd43d099f?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Your Mind","Adam Beyer","52","263802","58","1","spotify:track:1WsHKAuN9vDthcmimdqqaY","0.751","0.721","0.0655","https://open.spotify.com/track/1WsHKAuN9vDthcmimdqqaY","https://p.scdn.co/mp3-preview/6c058c9baefa2041f431fba0ea5e32da575db701?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu","https://i.scdn.co/image/ab6761610000e5ebe91f9b9a5ee593b2d5f77032"
"Your Mind - Radio Edit","Adam Beyer","52","263802","56","2","spotify:track:2zDCZ8jY4kjuUZbVROHaZj","0.66","0.857","0.0565","https://open.spotify.com/track/2zDCZ8jY4kjuUZbVROHaZj","https://p.scdn.co/mp3-preview/495cd352a279408fd6b27d8efb4456075f1b331f?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu","https://i.scdn.co/image/ab6761610000e5ebe91f9b9a5ee593b2d5f77032"
"Dirty Lagoon","Adam Beyer","52","263802","52","3","spotify:track:4JvutGrckEHMwqvezbMRwB","0.662","0.99","0.0565","https://open.spotify.com/track/4JvutGrckEHMwqvezbMRwB","https://p.scdn.co/mp3-preview/52611ab1758cf44d036368cace9cc51ae5bfb99f?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu","https://i.scdn.co/image/ab6761610000e5ebe91f9b9a5ee593b2d5f77032"
"Space Date - Pleasurekraft Remix","Adam Beyer","52","263802","52","4","spotify:track:1lbUtnuS8AYvKd0lziKpJ4","0.723","0.822","0.0452","https://open.spotify.com/track/1lbUtnuS8AYvKd0lziKpJ4","https://p.scdn.co/mp3-preview/4f4e493baa00adc9384bbe57fb9b02111952d71e?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu","https://i.scdn.co/image/ab6761610000e5ebe91f9b9a5ee593b2d5f77032"
"Data Point","Adam Beyer","52","263802","48","5","spotify:track:3sXqxxv1iiA011Zjtc4H49","0.8","0.875","0.0641","https://open.spotify.com/track/3sXqxxv1iiA011Zjtc4H49","https://p.scdn.co/mp3-preview/2d3248941d8af7a6b299017978b65b79f59509e1?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu","https://i.scdn.co/image/ab6761610000e5ebe91f9b9a5ee593b2d5f77032"
