"name","followers","popularity","genres","uri","url","image"
"Alessia Cara","10102222","80","canadian contemporary r&b| canadian pop| dance pop| electropop| pop| post-teen pop","spotify:artist:2wUjUUtkb5lvLKcGKsKqsR","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"Alexander 23","274117","70","alt z| pop","spotify:artist:6sFHvCyqklnJpXC9Nh1aag","https://open.spotify.com/artist/6sFHvCyqklnJpXC9Nh1aag","https://i.scdn.co/image/ab6761610000e5eb939cca330f9538da57ddacd7"
"Alison Wonderland","435672","63","aussietronica| edm| electra| electro house| electronic trap| electropop| escape room| indietronica| vapor twitch","spotify:artist:11gWrKZMBsGQWmobv3oNfW","https://open.spotify.com/artist/11gWrKZMBsGQWmobv3oNfW","https://i.scdn.co/image/ab6761610000e5eb037be959ee9ed56eb75a1895"
"Amaarae","116454","73","afro r&b| ghanaian alternative| ghanaian pop","spotify:artist:21UPYSRWFKwtqvSAnFnSvS","https://open.spotify.com/artist/21UPYSRWFKwtqvSAnFnSvS","https://i.scdn.co/image/ab6761610000e5eb6904c06cb71d8a28325559ed"
"Arctic Monkeys","14063880","88","garage rock| permanent wave| rock| sheffield indie","spotify:artist:7Ln80lUS6He07XvHI8qqHH","https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH","https://i.scdn.co/image/ab6761610000e5eb39f37a34b404169fdca52dc8"
"Bad Boy Chiller Crew","130417","68","indie hip hop","spotify:artist:5SRr4ZJMoygWecytkIwlaV","https://open.spotify.com/artist/5SRr4ZJMoygWecytkIwlaV","https://i.scdn.co/image/ab6761610000e5ebb3257875bf8de45c4e98bdfd"
"Beach House","1462048","77","baltimore indie| dream pop| dreamo| modern dream pop","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","https://open.spotify.com/artist/56ZTgzPBDge0OvCGgMO3OY","https://i.scdn.co/image/ab6761610000e5ebb3e38a46a56a423d8f741c09"
"Becky Hill","441248","80","dance pop| edm| pop| pop dance| pop house| tropical house| uk dance| uk pop","spotify:artist:4EPJlUEBy49EX1wuFOvtjK","https://open.spotify.com/artist/4EPJlUEBy49EX1wuFOvtjK","https://i.scdn.co/image/ab6761610000e5eb04ef17a8d226f7854fc8c62d"
"Big Boi","382036","63","alternative hip hop| atl hip hop| dirty south rap| gangster rap| hip hop| southern hip hop| trap","spotify:artist:2ht3wxeT69CzyKFChNnNAB","https://open.spotify.com/artist/2ht3wxeT69CzyKFChNnNAB","https://i.scdn.co/image/ab6761610000e5eb7f3c0dffb5229c8734ff60b2"
"Big Wild","216045","66","indie poptimism","spotify:artist:0PxzGnCYBpSuaI49OR94cA","https://open.spotify.com/artist/0PxzGnCYBpSuaI49OR94cA","https://i.scdn.co/image/ab6761610000e5eb7f00589a87d7c63c12aefa69"
"Blu DeTiger","76356","55","","spotify:artist:5NyCIBCeU080ynEj33S4hC","https://open.spotify.com/artist/5NyCIBCeU080ynEj33S4hC","https://i.scdn.co/image/ab6761610000e5eb6468ba0707707619541d1cf0"
"Bob Moses","287882","65","canadian electronic| canadian house","spotify:artist:6LHsnRBUYhFyt01PdKXAF5","https://open.spotify.com/artist/6LHsnRBUYhFyt01PdKXAF5","https://i.scdn.co/image/ab6761610000e5eb05160aec0fc3da915f1230ab"
"Cage The Elephant","2832652","79","modern rock| punk blues| rock","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","https://open.spotify.com/artist/26T3LtbuGT1Fu9m0eRq5X3","https://i.scdn.co/image/ab6761610000e5eb7d994f7e137c10249de19455"
"Calvin Harris","22591575","87","dance pop| edm| electro house| house| pop| pop dance| pop rap| progressive house| uk dance","spotify:artist:7CajNmpbOovFoOoasH2HaY","https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY","https://i.scdn.co/image/ab6761610000e5eb578905d5539cff25568dc097"
"Cassian","23080","57","nu disco","spotify:artist:1ChtRJ3f4rbv4vtz87i6CD","https://open.spotify.com/artist/1ChtRJ3f4rbv4vtz87i6CD","https://i.scdn.co/image/ab6761610000e5ebe8312fc6491d27707607f6ea"
"Charli XCX","2590683","83","art pop| candy pop| dance pop| electropop| metropopolis| pop| uk pop","spotify:artist:25uiPmTg16RbhZWAqwLBy5","https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5","https://i.scdn.co/image/ab6761610000e5eb576cb43281160e345f728b71"
"Claire Rosinkranz","271757","69","alt z| indie pop| modern indie pop| pop","spotify:artist:3V0ZQW0dNuVaFtbVYgSI24","https://open.spotify.com/artist/3V0ZQW0dNuVaFtbVYgSI24","https://i.scdn.co/image/ab6761610000e5ebea6d626413e158a3d93b957b"
"Clinton Kane","726974","75","alt z| gen z singer-songwriter| pop","spotify:artist:7okSU80WTrn4LXlyXYbX3P","https://open.spotify.com/artist/7okSU80WTrn4LXlyXYbX3P","https://i.scdn.co/image/ab6761610000e5ebe36ad3961be17d8a93263f7d"
"Cochise","335104","75","plugg| pluggnb","spotify:artist:46HzS7yz0c9udVwtbHk1sx","https://open.spotify.com/artist/46HzS7yz0c9udVwtbHk1sx","https://i.scdn.co/image/ab6761610000e5eb30e3f7354f4053d67ff002a9"
"Coi Leray","320300","70","new jersey underground rap| pop r&b| pop rap| r&b| trap queen| viral rap","spotify:artist:6AMd49uBDJfhf30Ak2QR5s","https://open.spotify.com/artist/6AMd49uBDJfhf30Ak2QR5s","https://i.scdn.co/image/ab6761610000e5eb135e57247124a2a126ec5c1d"
"COIN","506753","71","indie pop| indie poptimism| modern rock| pop| pop rock","spotify:artist:0ZxZlO7oWCSYMXhehpyMvE","https://open.spotify.com/artist/0ZxZlO7oWCSYMXhehpyMvE","https://i.scdn.co/image/ab6761610000e5ebd746ea0dbc6fbaa163353727"
"Dabin","128289","62","canadian electronic| edm| electropop| future bass| melodic dubstep| pop dance| pop edm","spotify:artist:7lZauDnRoAC3kmaYae2opv","https://open.spotify.com/artist/7lZauDnRoAC3kmaYae2opv","https://i.scdn.co/image/ab6761610000e5ebdb691c4e0aff20504f6b6033"
"Dermot Kennedy","1073456","77","folk-pop| irish pop| pop","spotify:artist:5KNNVgR6LBIABRIomyCwKJ","https://open.spotify.com/artist/5KNNVgR6LBIABRIomyCwKJ","https://i.scdn.co/image/ab6761610000e5eb6e295a69e6e93b9c4ce415b4"
"Elderbrook","270698","72","pop dance| tropical house","spotify:artist:2vf4pRsEY6LpL5tKmqWb64","https://open.spotify.com/artist/2vf4pRsEY6LpL5tKmqWb64","https://i.scdn.co/image/ab6761610000e5eb8d2adb4e5c933395638771cd"
"ericdoa","73023","67","glitchcore| hyperpop","spotify:artist:4hR6Bm9YYtktXzjmKhb1Cn","https://open.spotify.com/artist/4hR6Bm9YYtktXzjmKhb1Cn","https://i.scdn.co/image/ab6761610000e5eb82dde561d62a211e661e75d5"
"Georgia","55284","55","electropop| uk alternative pop","spotify:artist:06knYh538h5SI7OAEF8ek3","https://open.spotify.com/artist/06knYh538h5SI7OAEF8ek3","https://i.scdn.co/image/ab6761610000e5eb45a495af2ba61efcf72f17cb"
"GioLimited","0","0","","spotify:artist:2C9SPW64mvSj1fgGSCttyN","https://open.spotify.com/artist/2C9SPW64mvSj1fgGSCttyN","notAvailable"
"Gorillaz","8413587","82","alternative hip hop","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ","https://i.scdn.co/image/ab6761610000e5eb7284ae7f774c3b71a6e5ce64"
"grandson","1000730","74","modern alternative rock| modern rock| rock","spotify:artist:4ZgQDCtRqZlhLswVS6MHN4","https://open.spotify.com/artist/4ZgQDCtRqZlhLswVS6MHN4","https://i.scdn.co/image/ab6761610000e5ebac99a0d19e9ce4a4fb0e013d"
"Gryffin","795186","75","dance pop| edm| electro house| pop| pop dance| tropical house","spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh","https://open.spotify.com/artist/2ZRQcIgzPCVaT9XKhXZIzh","https://i.scdn.co/image/ab6761610000e5eb340929ac8808f76d0c25a7f6"
"Hope Tala","111998","60","alternative r&b| chill r&b| indie r&b| indie soul","spotify:artist:74CcYmmNeHKe5PrZaISk8e","https://open.spotify.com/artist/74CcYmmNeHKe5PrZaISk8e","https://i.scdn.co/image/ab6761610000e5eb84aac86e50966f2dfc869953"
"Isaiah Rashad","1108023","73","hip hop| rap| tennessee hip hop| underground hip hop","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","https://open.spotify.com/artist/6aaMZ3fcfLv4tEbmY7bjRM","https://i.scdn.co/image/ab6761610000e5eb1ff1685224034e6c12538722"
"Jack Harlow","1624812","88","deep underground hip hop| kentucky hip hop| rap","spotify:artist:2LIk90788K0zvyj2JJVwkJ","https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ","https://i.scdn.co/image/ab6761610000e5ebed3a04c76cbc92b97f59c3c0"
"Jax Jones","1001631","79","dance pop| edm| electro house| house| pop| pop dance| pop rap| tropical house| uk dance","spotify:artist:4Q6nIcaBED8qUel8bBx6Cr","https://open.spotify.com/artist/4Q6nIcaBED8qUel8bBx6Cr","https://i.scdn.co/image/ab6761610000e5eb866f2a7fc5dffca7c22e5b7b"
