"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"Scars To Your Beautiful","Alessia Cara","80","10102222","77","1","spotify:track:0prNGof3XqfTvNDxHonvdK","0.573","0.739","0.129","https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK","nan","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"Stay","Alessia Cara","80","10102222","80","2","spotify:track:6uBhi9gBXWjanegOb2Phh0","0.69","0.622","0.0622","https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0","nan","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"Out Of Love","Alessia Cara","80","10102222","79","3","spotify:track:4WzhjxvLP95y7AMDy0Atwb","0.481","0.267","0.0339","https://open.spotify.com/track/4WzhjxvLP95y7AMDy0Atwb","nan","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"Here","Alessia Cara","80","10102222","71","4","spotify:track:1wYZZtamWTQAoj8B812uKQ","0.376","0.821","0.104","https://open.spotify.com/track/1wYZZtamWTQAoj8B812uKQ","nan","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"I Choose - From The Netflix Original Film "The Willoughbys"","Alessia Cara","80","10102222","54","5","spotify:track:5Suay5DSE2n8UqTvFAMx6s","0.65","0.63","0.0825","https://open.spotify.com/track/5Suay5DSE2n8UqTvFAMx6s","nan","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"How Far I'll Go - Alessia Cara Version","Alessia Cara","80","10102222","70","6","spotify:track:1ehPJRt49h6N0LoryqKZXq","0.31","0.54","0.346","https://open.spotify.com/track/1ehPJRt49h6N0LoryqKZXq","nan","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"I'm Like A Bird - Recorded at Spotify Studios NYC","Alessia Cara","80","10102222","70","7","spotify:track:2JtSnwYNKOphDrshYL8n4p","0.524","0.639","0.103","https://open.spotify.com/track/2JtSnwYNKOphDrshYL8n4p","nan","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"Best Days","Alessia Cara","80","10102222","69","8","spotify:track:3z1DnGBH2uhlDekJr0YVzQ","0.518","0.318","0.0749","https://open.spotify.com/track/3z1DnGBH2uhlDekJr0YVzQ","nan","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"WTSGD (with Alessia Cara)","Alessia Cara","80","10102222","66","9","spotify:track:2JerYQPEZWTiTEIFgfUEoV","0.574","0.461","0.0416","https://open.spotify.com/track/2JerYQPEZWTiTEIFgfUEoV","https://p.scdn.co/mp3-preview/805a7d1422e98a8cc37ca9ef3cc6e700fd736176?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
"Wild Things","Alessia Cara","80","10102222","65","10","spotify:track:2ZyuwVvV6Z3XJaXIFbspeE","0.741","0.626","0.0886","https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE","nan","https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR","https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7"
