"name","followers","popularity","genres","uri","url","image"
"Amyl and The Sniffers","128084","55","australian garage punk","spotify:artist:3NqV2DJoAWsjl787bWaHW7","https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7","https://i.scdn.co/image/ab6761610000e5eb08a47ae472f4df20de3bab89"
"Arooj Aftab","82320","52","pakistani indie| pakistani pop","spotify:artist:00JAfwtx5gNiiqyor88Dr5","https://open.spotify.com/artist/00JAfwtx5gNiiqyor88Dr5","https://i.scdn.co/image/ab6761610000e5eb110bac9bda9993349078a2db"
"ARTBAT","208487","62","ukrainian electronic","spotify:artist:3BkRu2TGd2I1uBxZKddfg1","https://open.spotify.com/artist/3BkRu2TGd2I1uBxZKddfg1","https://i.scdn.co/image/ab6761610000e5ebc1347b34c318f8af8d73bcbb"
"Baby Keem","759027","82","hip hop| rap","spotify:artist:5SXuuuRpukkTvsLuUknva1","https://open.spotify.com/artist/5SXuuuRpukkTvsLuUknva1","https://i.scdn.co/image/ab6761610000e5ebd6f2323c1971fd5a70cd0255"
"BADBADNOTGOOD","597547","67","alternative hip hop| canadian modern jazz| escape room| indie soul","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","https://open.spotify.com/artist/65dGLGjkw3UbddUg2GKQoZ","https://i.scdn.co/image/ab6761610000e5eb61d28b161209f1ee239fdafa"
"Big Sean","9442138","84","detroit hip hop| hip hop| pop| pop rap| rap| southern hip hop| trap","spotify:artist:0c173mlxpT3dSFRgMO8XPh","https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh","https://i.scdn.co/image/ab6761610000e5eb89dccc0a0b3d818c8d5fb711"
"Bishop Briggs","741837","68","modern alternative rock| modern rock| pop","spotify:artist:0yb46jwm7gqbZXVXZQ8Z1e","https://open.spotify.com/artist/0yb46jwm7gqbZXVXZQ8Z1e","https://i.scdn.co/image/ab6761610000e5ebd45495ba2518d4e43fb62633"
"Black Coffee","805180","64","afro house| deep house| south african house| south african pop dance","spotify:artist:6wMr4zKPrrR0UVz08WtUWc","https://open.spotify.com/artist/6wMr4zKPrrR0UVz08WtUWc","https://i.scdn.co/image/ab6761610000e5ebf864b62fe4d5946c8187a61d"
"Carly Rae Jepsen","4947676","75","canadian pop| dance pop| electropop| pop| post-teen pop","spotify:artist:6sFIWsNpZYqfjUpaCgueju","https://open.spotify.com/artist/6sFIWsNpZYqfjUpaCgueju","https://i.scdn.co/image/ab6761610000e5eb71fed7c1f401da1662f209cb"
"City Girls","1902792","74","dance pop| pop| pop rap| r&b| scam rap| trap queen","spotify:artist:37hAfseJWi0G3Scife12Il","https://open.spotify.com/artist/37hAfseJWi0G3Scife12Il","https://i.scdn.co/image/ab6761610000e5ebc472e61929903da03877489b"
"Code Orange","162955","48","pennsylvania hardcore| pittsburgh metal","spotify:artist:6qtECqesbU29iftyeWmldK","https://open.spotify.com/artist/6qtECqesbU29iftyeWmldK","https://i.scdn.co/image/ab6761610000e5eb366bf679e60c23fca4b61710"
"Cordae","1731195","76","dmv rap| hip hop| rap| trap","spotify:artist:0huGjMyP507tBCARyzSkrv","https://open.spotify.com/artist/0huGjMyP507tBCARyzSkrv","https://i.scdn.co/image/ab6761610000e5ebd1e1e406ef2a9a4978e19ca0"
"Damian Lazarus","53350","52","uk house","spotify:artist:3EIJ8wiUHbgkRCt5cpRrQv","https://open.spotify.com/artist/3EIJ8wiUHbgkRCt5cpRrQv","https://i.scdn.co/image/ab6761610000e5ebd3aa0fd5b5cb1beee4931445"
"Daniel Caesar","3161484","82","canadian contemporary r&b| pop| r&b","spotify:artist:20wkVLutqVOYrc0kxFs7rA","https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA","https://i.scdn.co/image/ab6761610000e5eb718d4447dae6ba98072371f2"
"Daphni","76145","43","canadian house| deep house| electronica| float house| future garage| microhouse| uk bass","spotify:artist:4nhvb6x9ZhPiYCzrHDNia9","https://open.spotify.com/artist/4nhvb6x9ZhPiYCzrHDNia9","https://i.scdn.co/image/2ceae7fcb1293c9edab4f6bffbd8e8eea9e51a01"
"Dear Humans","2658","31","","spotify:artist:3H364zRn4QfVTb07GSszAF","https://open.spotify.com/artist/3H364zRn4QfVTb07GSszAF","https://i.scdn.co/image/ab6761610000e5ebb59c52e28b337ab1c2a4151a"
"DJ Lord","693","8","","spotify:artist:63hY3EAEJsNb2IK3laXMHO","https://open.spotify.com/artist/63hY3EAEJsNb2IK3laXMHO","https://i.scdn.co/image/ab6761610000e5eb9398c3e076c98cef2ca323cb"
"Dom Dolla","139217","64","australian house| deep groove house| edm| electro house| house","spotify:artist:205i7E8fNVfojowcQSfK9m","https://open.spotify.com/artist/205i7E8fNVfojowcQSfK9m","https://i.scdn.co/image/ab6761610000e5ebdb4459c88f428070d8b492c9"
"Ela Minus","46389","49","colombian indie| latintronica| pop electronico","spotify:artist:4rdJkXHNrMgowlwUdQAg8T","https://open.spotify.com/artist/4rdJkXHNrMgowlwUdQAg8T","https://i.scdn.co/image/ab6761610000e5ebd514b69df1a84e667e600012"
"Epik High","607943","65","k-pop| k-rap| korean old school hip hop| korean pop","spotify:artist:5snNHNlYT2UrtZo5HCJkiw","https://open.spotify.com/artist/5snNHNlYT2UrtZo5HCJkiw","https://i.scdn.co/image/ab6761610000e5eb7ab6a76808b6f77f5628d231"
"GG Magree","13132","51","dubstep","spotify:artist:54pgkpWVgQYbQXD8bkUP8n","https://open.spotify.com/artist/54pgkpWVgQYbQXD8bkUP8n","https://i.scdn.co/image/ab6761610000e5eb5b188c00ddf2524e8e5ea64c"
"Giselle Woo & the Night Owls","225","10","","spotify:artist:1WI9uFufFkL3pe9Jz1Fsz6","https://open.spotify.com/artist/1WI9uFufFkL3pe9Jz1Fsz6","https://i.scdn.co/image/ab6761610000e5eb1289e1d0d649bca124fcf431"
"Grupo Firme","5161672","86","musica mexicana| norteno| nueva musica mexicana| sierreno","spotify:artist:1dKdetem2xEmjgvyymzytS","https://open.spotify.com/artist/1dKdetem2xEmjgvyymzytS","https://i.scdn.co/image/ab6761610000e5eb2fc779723cefd8fba3083ce1"
"Harry Styles","19522178","87","pop","spotify:artist:6KImCVD70vtIoJWnq6nGn3","https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3","https://i.scdn.co/image/ab6761610000e5eb5464c6450a88d073a3f117b0"
"IDLES","416690","63","bristol indie| modern rock","spotify:artist:75mafsNqNE1WSEVxIKuY5C","https://open.spotify.com/artist/75mafsNqNE1WSEVxIKuY5C","https://i.scdn.co/image/ab6761610000e5ebf4be880e3de29953b943a54f"
"Japanese Breakfast","418250","65","art pop| eugene indie| indie pop| philly indie","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","https://open.spotify.com/artist/7MoIc5s9KXolCBH1fy9kkw","https://i.scdn.co/image/ab6761610000e5eb3a3fed0c7aa2276bedccc7fe"
"Jean Dawson","72046","56","modern indie pop","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","https://open.spotify.com/artist/7vNNmjV14SKQzlQAEg0BXP","https://i.scdn.co/image/ab6761610000e5eb6f9727bc35d9039b40509e0b"
"John Summit","53410","68","deep house| edm| electro house| house| pop dance","spotify:artist:7kNqXtgeIwFtelmRjWv205","https://open.spotify.com/artist/7kNqXtgeIwFtelmRjWv205","https://i.scdn.co/image/ab6761610000e5eb06eb316b85b8cad8d9df0d33"
"King Gizzard & The Lizard Wizard","763488","67","australian indie| australian psych| double drumming| microtonal| neo-psychedelic","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","https://open.spotify.com/artist/6XYvaoDGE0VmRt83Jss9Sn","https://i.scdn.co/image/ab6761610000e5ebae21e90221e814c50033133a"
"Lane 8","301389","68","gauze pop| progressive house| tropical house","spotify:artist:27gtK7m9vYwCyJ04zz0kIb","https://open.spotify.com/artist/27gtK7m9vYwCyJ04zz0kIb","https://i.scdn.co/image/ab6761610000e5eba63ca9a9ed590b0f7c9633a7"
"Lawrence","157199","60","nyc pop| retro soul","spotify:artist:5rwUYLyUq8gBsVaOUcUxpE","https://open.spotify.com/artist/5rwUYLyUq8gBsVaOUcUxpE","https://i.scdn.co/image/ab6761610000e5ebdf1ea4e99183b6c35c127ed7"
"Lil Baby","9973411","92","atl hip hop| atl trap| rap| trap","spotify:artist:5f7VJjfbwm532GiveGC0ZK","https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK","https://i.scdn.co/image/ab6761610000e5eb2161ef3bab0e5e922a1c297d"
"Logic1000","20992","50","electronica| float house| ukg revival","spotify:artist:2EFsfh1zewsSWhDINv7j1I","https://open.spotify.com/artist/2EFsfh1zewsSWhDINv7j1I","https://i.scdn.co/image/ab6761610000e5eb97438da697b979c4542b0153"
"Lost Kings","350788","66","dance pop| edm| electro house| pop| pop dance| pop edm| pop rap| tropical house","spotify:artist:3hyEbRtp617pNCuuQjyOmc","https://open.spotify.com/artist/3hyEbRtp617pNCuuQjyOmc","https://i.scdn.co/image/ab6761610000e5eba143e59c7af9f75f44ffd6b2"
"Louis The Child","434459","70","edm| electropop| pop| pop dance| tropical house","spotify:artist:7wg1qvie3KqDNQbAkTdbX0","https://open.spotify.com/artist/7wg1qvie3KqDNQbAkTdbX0","https://i.scdn.co/image/ab6761610000e5ebcb616aef5f625486a7cdc987"
"Madeon","605491","63","complextro| edm| electro house| electropop| filter house| future bass| nantes indie| pop dance","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","https://open.spotify.com/artist/4pb4rqWSoGUgxm63xmJ8xc","https://i.scdn.co/image/ab6761610000e5eb575765a3c5e35a1205eac302"
"MEUTE","236689","53","german dance| hamburg electronic| livetronica","spotify:artist:1z5xbcOeFRQXBVDpvRPh8H","https://open.spotify.com/artist/1z5xbcOeFRQXBVDpvRPh8H","https://i.scdn.co/image/ab6761610000e5ebaf17fdd9c9e4101797323652"
"MIKA","1207443","70","europop| pop","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","https://open.spotify.com/artist/5MmVJVhhYKQ86izuGHzJYA","https://i.scdn.co/image/ab6761610000e5eb8308fa9036c78bb99bd53a4f"
"NIKI","1362348","78","indonesian r&b| pop","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","https://open.spotify.com/artist/2kxP07DLgs4xlWz8YHlvfh","https://i.scdn.co/image/ab6761610000e5ebd5a652e1daf030c49c401a87"
"Omar Apollo","465775","71","alternative r&b| bedroom pop| bedroom soul| chill r&b| indie r&b| pop| r&b","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","https://open.spotify.com/artist/5FxD8fkQZ6KcsSYupDVoSO","https://i.scdn.co/image/ab6761610000e5eb32e5120c84a5f62bf8903e65"
"Peggy Gou","431043","59","electra| float house","spotify:artist:2mLA48B366zkELXYx7hcDN","https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN","https://i.scdn.co/image/ab6761610000e5eb02176eaa418c6c23309edc0b"
"Phoebe Bridgers","1097119","79","indie pop| la indie","spotify:artist:1r1uxoy19fzMxunt3ONAkG","https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG","https://i.scdn.co/image/ab6761610000e5eb626686e362d30246e816cc5b"
"Pink Sweat$","1231501","77","bedroom soul| chill r&b| pop","spotify:artist:1W7FNibLa0O0b572tB2w7t","https://open.spotify.com/artist/1W7FNibLa0O0b572tB2w7t","https://i.scdn.co/image/ab6761610000e5eb2822fcd3337b030199b3861a"
"Princess Nokia","524941","68","escape room| lgbtq+ hip hop| trap queen","spotify:artist:6lay1nwbE6hTx1jivysUAL","https://open.spotify.com/artist/6lay1nwbE6hTx1jivysUAL","https://i.scdn.co/image/ab6761610000e5eb30f34673f9cb4f20e4603fd4"
"PUP","209160","58","alternative emo| bubblegrunge| canadian indie| canadian pop punk| canadian punk| emo| indie punk| modern rock| toronto indie","spotify:artist:6A7uqgC2N1nUhrCLAytHxN","https://open.spotify.com/artist/6A7uqgC2N1nUhrCLAytHxN","https://i.scdn.co/image/ab6761610000e5eb3c01e2c45dcbdca5a953b469"
"Purple Disco Machine","357727","77","deep house| house| tropical house","spotify:artist:2WBJQGf1bT1kxuoqziH5g4","https://open.spotify.com/artist/2WBJQGf1bT1kxuoqziH5g4","https://i.scdn.co/image/ab6761610000e5eb270e4b7d6d5e9e7cbaf89575"
"Raveena","387055","64","alternative r&b| chill r&b| high vibe| indie r&b| indie soul","spotify:artist:2kQnsbKnIiMahOetwlfcaS","https://open.spotify.com/artist/2kQnsbKnIiMahOetwlfcaS","https://i.scdn.co/image/ab6761610000e5eb6b95816dfe55be49610a9e1f"
"ROLE MODEL","333569","67","alt z| bedroom pop| indie pop| pop","spotify:artist:1dy5WNgIKQU6ezkpZs4y8z","https://open.spotify.com/artist/1dy5WNgIKQU6ezkpZs4y8z","https://i.scdn.co/image/ab6761610000e5eb379c213b357ab1228c0a670d"
"slowthai","430864","69","hip hop| rap| uk alternative hip hop| uk hip hop| underground hip hop","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","https://open.spotify.com/artist/3r1XkJ7vCs8kHBSzGvPLdP","https://i.scdn.co/image/ab6761610000e5eb54efb6a0fe609d0cf8099a98"
"Snoh Aalegra","765447","71","alternative r&b| chill r&b| dance pop| indie r&b| pop| r&b| scandinavian r&b| swedish soul| urban contemporary","spotify:artist:1A9o3Ljt67pFZ89YtPPL5X","https://open.spotify.com/artist/1A9o3Ljt67pFZ89YtPPL5X","https://i.scdn.co/image/ab6761610000e5eb0839cfbccc82b54ce3d945fa"
"SOHMI","2472","35","","spotify:artist:0gUsjVKHygvZgi27L2QViK","https://open.spotify.com/artist/0gUsjVKHygvZgi27L2QViK","https://i.scdn.co/image/ab6761610000e5eb34e1cbfc5e2d59b3a7abc8ef"
"Spiritualized","205347","51","alternative rock| art pop| art rock| britpop| noise pop| post-rock| shoegaze","spotify:artist:6DKmuXxXASTF6xaJwcTfjv","https://open.spotify.com/artist/6DKmuXxXASTF6xaJwcTfjv","https://i.scdn.co/image/ab6761610000e5ebff76ffdcaf85d06eadaf0667"
"Still Woozy","793719","74","bedroom pop| modern rock| oakland indie","spotify:artist:4iMO20EPodreIaEl8qW66y","https://open.spotify.com/artist/4iMO20EPodreIaEl8qW66y","https://i.scdn.co/image/ab6761610000e5eb213487aac43637b03baf9db8"
"Swedish House Mafia","3506214","79","dance pop| edm| electro house| pop| pop dance| progressive electro house","spotify:artist:1h6Cn3P4NGzXbaXidqURXs","https://open.spotify.com/artist/1h6Cn3P4NGzXbaXidqURXs","https://i.scdn.co/image/ab6761610000e5eb0c05adcae61ac479afe35c8e"
"The Avalanches","438425","63","alternative dance| australian alternative rock| australian dance| collage pop| electronica| indie rock| indietronica| new rave| psychedelic hip hop","spotify:artist:3C8RpaI3Go0yFF9whvKoED","https://open.spotify.com/artist/3C8RpaI3Go0yFF9whvKoED","https://i.scdn.co/image/ab6761610000e5eb348fb7d638c8f86c675122e2"
"The Chats","172957","55","australian garage punk| brisbane punk","spotify:artist:1aQ7P3HtKOQFW16ebjiks1","https://open.spotify.com/artist/1aQ7P3HtKOQFW16ebjiks1","https://i.scdn.co/image/ab6761610000e5eb6b0bdb561f2f3ab5c3658844"
"The HU","575738","59","oriental metal","spotify:artist:0b2B3PwcYzQAhuJacmcYgc","https://open.spotify.com/artist/0b2B3PwcYzQAhuJacmcYgc","https://i.scdn.co/image/ab6761610000e5eb2ccdc24acf91ba14b1b2273a"
"The Marías","705113","70","bedroom pop| indie pop| la indie","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","https://open.spotify.com/artist/2sSGPbdZJkaSE2AbcGOACx","https://i.scdn.co/image/ab6761610000e5eba37a2e21b6b2d1aa22826548"
