"name","followers","popularity","genres","uri","url","image"
"Adam Port","33025","52","deep disco house","spotify:artist:2loEsOijJ6XiGzWYFXMIRk","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"Alec Benjamin","3372789","80","alt z| dream smp| electropop| pop","spotify:artist:5IH6FPUwQTxPSXurCrcIov","https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov","https://i.scdn.co/image/ab6761610000e5eb72c4ca30476ce87954961a10"
"Ali Gatie","1872875","76","canadian hip hop| pop","spotify:artist:4rTv3Ejc7hKMtmoBOK1B4T","https://open.spotify.com/artist/4rTv3Ejc7hKMtmoBOK1B4T","https://i.scdn.co/image/ab6761610000e5eb9c396dfe3b553c3dafd2fefe"
"Altin Gün","181438","54","dutch indie| turkish psych","spotify:artist:37PL04N8kBWWW69jdrMMWT","https://open.spotify.com/artist/37PL04N8kBWWW69jdrMMWT","https://i.scdn.co/image/ab6761610000e5eb5a1d7e1ef464a66766a408d8"
"aMEME","1","0","","spotify:artist:5ifNC61gtSQPrQBiXXk1T1","https://open.spotify.com/artist/5ifNC61gtSQPrQBiXXk1T1","https://i.scdn.co/image/ab67616d0000b273fe290397a4879c096d2b62a4"
"Ari Lennox","520276","70","alternative r&b| dmv rap| neo soul| pop| r&b| urban contemporary","spotify:artist:1vaQ6v3pOFxAIrFoPrAcom","https://open.spotify.com/artist/1vaQ6v3pOFxAIrFoPrAcom","https://i.scdn.co/image/ab6761610000e5eb666882efcbd13a82108176f9"
"Banda MS de Sergio Lizárraga","14358113","84","banda| musica mexicana| norteno","spotify:artist:2C6i0I5RiGzDKN9IAF8reh","https://open.spotify.com/artist/2C6i0I5RiGzDKN9IAF8reh","https://i.scdn.co/image/ab6761610000e5ebbbea577c2181208f77d1fb49"
"beabadoobee","949865","75","bedroom pop| bubblegrunge| indie pop","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB","https://i.scdn.co/image/ab6761610000e5ebc8b4ad8a13f54ee2a5184838"
"Bedouin","69262","47","arab electronic| ethnotronica| organic electronic| organic house","spotify:artist:5bKdC6382t97Qnpvs81Rqx","https://open.spotify.com/artist/5bKdC6382t97Qnpvs81Rqx","https://i.scdn.co/image/ab6761610000e5ebc2eec8855322126525fce8af"
"Belly","221864","67","canadian hip hop| canadian trap| pop rap| rap| trap| trap soul","spotify:artist:0FOWNUFHPnMy0vOw1siGqi","https://open.spotify.com/artist/0FOWNUFHPnMy0vOw1siGqi","https://i.scdn.co/image/ab6761610000e5eb2357b798cc2ff630c6f2c898"
