"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"Muyè","Adam Port","52","33025","55","1","spotify:track:5WgW9bG91h4zRUnBr97d6c","0.775","0.474","0.0636","https://open.spotify.com/track/5WgW9bG91h4zRUnBr97d6c","https://p.scdn.co/mp3-preview/0b97fa3e3238a9a04774cbd90c21971ec8dffac3?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"Discoteca","Adam Port","52","33025","45","2","spotify:track:35rfoLVPIPftGJcoZzwn9T","0.772","0.485","0.0611","https://open.spotify.com/track/35rfoLVPIPftGJcoZzwn9T","https://p.scdn.co/mp3-preview/94446edb0e85624e718948ec686b7ed096302974?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"Saving My Love - Palms Trax Remix","Adam Port","52","33025","42","3","spotify:track:0ZGFIsd5rhApwpPV9YqMjd","0.784","0.59","0.0407","https://open.spotify.com/track/0ZGFIsd5rhApwpPV9YqMjd","https://p.scdn.co/mp3-preview/cf10cfe615be04c0fc779534f2c60fb3e75123a7?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"Confusion","Adam Port","52","33025","43","4","spotify:track:5i3Rv4Y9kWVBX00zaZbuSE","0.756","0.527","0.0428","https://open.spotify.com/track/5i3Rv4Y9kWVBX00zaZbuSE","https://p.scdn.co/mp3-preview/e786f6b50b022a6b757faa90b2ba091fdc3ea85c?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"Feeling","Adam Port","52","33025","48","5","spotify:track:3TyPz3L5D2lWncHNYVbzSM","0.597","0.54","0.041","https://open.spotify.com/track/3TyPz3L5D2lWncHNYVbzSM","https://p.scdn.co/mp3-preview/66d4a7c83e670f4dde1a2014a951a8795243aea9?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"Run Run Run - Adam Port Remix","Adam Port","52","33025","47","6","spotify:track:6ILgZZZnxyXRSvzSlpuNIz","0.681","0.813","0.0404","https://open.spotify.com/track/6ILgZZZnxyXRSvzSlpuNIz","https://p.scdn.co/mp3-preview/5a4dbceff79060f9549d28a27c058925695736bc?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"Muyè - Black Coffee Remix","Adam Port","52","33025","0","7","spotify:track:0oNhQywl6yOhZuTfPYtQy7","0.599","0.665","0.0396","https://open.spotify.com/track/0oNhQywl6yOhZuTfPYtQy7","https://p.scdn.co/mp3-preview/3c88805cac55206429fe645986051ac948de7a11?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"Saving My Love","Adam Port","52","33025","37","8","spotify:track:7lavgUt5Y3HxSKxt93vinb","0.737","0.585","0.0435","https://open.spotify.com/track/7lavgUt5Y3HxSKxt93vinb","https://p.scdn.co/mp3-preview/7a05394fd369c59396572782096210afdd09aa8f?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"What You Expected","Adam Port","52","33025","42","9","spotify:track:5dVNX4bu0pQImyIcsodydt","0.657","0.56","0.036","https://open.spotify.com/track/5dVNX4bu0pQImyIcsodydt","https://p.scdn.co/mp3-preview/7bd737e960b71533aa77235a2857631899696812?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
"Confusion - Laolu Remix","Adam Port","52","33025","41","10","spotify:track:2Ov9dDRvhPHKieyVFam5TM","0.736","0.702","0.0502","https://open.spotify.com/track/2Ov9dDRvhPHKieyVFam5TM","https://p.scdn.co/mp3-preview/99f62b0f04f4f3847bfd95b934f973649e173be1?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk","https://i.scdn.co/image/ab6761610000e5eb6ab038c2b2741b7bc0de6cb2"
