"name","followers","popularity","genres","uri","url","image"
"ACRAZE","55907","78","","spotify:artist:4pnp4w9g30yLfVIAFnZMRd","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Adrenalize","32770","50","classic hardstyle| euphoric hardstyle| hardstyle| rawstyle","spotify:artist:6GebWeCCtey5pbQepRYD6c","https://open.spotify.com/artist/6GebWeCCtey5pbQepRYD6c","https://i.scdn.co/image/ab6761610000e5eb7a056538bac6ad76ad74460c"
"Alan Walker","33146717","85","electro house","spotify:artist:7vk5e3vY1uw9plTHJAMwjN","https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN","https://i.scdn.co/image/ab6761610000e5ebc02d416c309a68b04dc94576"
"Alix Perez","60021","50","belgian edm| drum and bass| drumfunk| halftime dnb| jungle| liquid funk| neurofunk","spotify:artist:4e6pQ61gYReORJoXcrQH1Z","https://open.spotify.com/artist/4e6pQ61gYReORJoXcrQH1Z","https://i.scdn.co/image/ab6761610000e5eb6b656d64cfc7be8e087a4917"
"Ann Clue","40751","48","high-tech minimal| minimal techno| tech house","spotify:artist:5fasubnSIOTRYlIZA17ong","https://open.spotify.com/artist/5fasubnSIOTRYlIZA17ong","https://i.scdn.co/image/ab6761610000e5eb413428824a81416f340981ad"
"ARMNHMR","79204","54","edm| future bass| melodic dubstep| pop dance| pop edm","spotify:artist:0P2bZXPyjHYRW4guHVAFl1","https://open.spotify.com/artist/0P2bZXPyjHYRW4guHVAFl1","https://i.scdn.co/image/ab6761610000e5ebb83c7f5e2a18848bf943fe62"
"Audiofreq","25722","45","classic hardstyle| euphoric hardstyle| hardstyle| rawstyle","spotify:artist:0hHKtZEXHNsXfgrNgU7Zkl","https://open.spotify.com/artist/0hHKtZEXHNsXfgrNgU7Zkl","https://i.scdn.co/image/ab6761610000e5ebc5aed2bf6b0cb022ca5278e7"
"Autograf","101386","58","deep house| deep tropical house| edm| electropop| future bass| house| indie poptimism| pop dance| pop edm| tropical house| vapor soul| vapor twitch","spotify:artist:0FVj4JuzTyudaXAwfqDQ20","https://open.spotify.com/artist/0FVj4JuzTyudaXAwfqDQ20","https://i.scdn.co/image/ab6761610000e5eb18f0596f15e4a6ebde3c643b"
"Ben Böhmer","269214","69","","spotify:artist:5tDjiBYUsTqzd0RkTZxK7u","https://open.spotify.com/artist/5tDjiBYUsTqzd0RkTZxK7u","https://i.scdn.co/image/ab6761610000e5eba8a48c12973f1621a9eea81d"
"Big Gigantic","233495","61","edm| electronic trap| electropop| vapor twitch","spotify:artist:7o7mC95EDbJKTcPAAs8C3r","https://open.spotify.com/artist/7o7mC95EDbJKTcPAAs8C3r","https://i.scdn.co/image/ab6761610000e5eb0bae0770c078dc67c15c8ed1"
"Black V Neck","9579","51","bass house","spotify:artist:2l0xOjnrmYsxNoQ0QI3G5a","https://open.spotify.com/artist/2l0xOjnrmYsxNoQ0QI3G5a","https://i.scdn.co/image/ab6761610000e5ebdcbe09483525f1dfabcd5e90"
"Bleu Clair","26360","52","bass house| electro house| indonesian edm","spotify:artist:7kA4sEagpoNK91I7wr9tYr","https://open.spotify.com/artist/7kA4sEagpoNK91I7wr9tYr","https://i.scdn.co/image/ab6761610000e5eb32cb9da2d7fa954f7b9446b9"
