"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"Full Send","1991","53","26598","62","1","spotify:track:1bKLxdg9QOkwcOy3PYv7Fk","0.514","0.956","0.0297","https://open.spotify.com/track/1bKLxdg9QOkwcOy3PYv7Fk","https://p.scdn.co/mp3-preview/c1a460e044ea5bd3655cba8ac0b2575e1010c824?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"Out Of My Head","1991","53","26598","56","2","spotify:track:4LQ5kRz9xJzzDtXu6NeJXH","0.473","0.947","0.0772","https://open.spotify.com/track/4LQ5kRz9xJzzDtXu6NeJXH","https://p.scdn.co/mp3-preview/f9eebb91d97a280d0c4e4536a137ba989facb1d0?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"Where’s Your Head At - 1991 Remix","1991","53","26598","54","3","spotify:track:3MX0TGUzniV9GiEVEcjNqB","0.385","0.975","0.0904","https://open.spotify.com/track/3MX0TGUzniV9GiEVEcjNqB","https://p.scdn.co/mp3-preview/72a723e0c057127da5a6418cb59f06b602f0d633?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"Don’t You Feel It - Sub Focus & 1991 Remix","1991","53","26598","51","4","spotify:track:59kPxHfDD1lZqunlkJqBab","0.471","0.905","0.0411","https://open.spotify.com/track/59kPxHfDD1lZqunlkJqBab","nan","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"Midnight","1991","53","26598","50","5","spotify:track:2GChih05xzZPWX4FjpDAzL","0.58","0.839","0.0372","https://open.spotify.com/track/2GChih05xzZPWX4FjpDAzL","https://p.scdn.co/mp3-preview/2e3de1f0d75c1ac445befa08efa34d589adf2f2e?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"Odyssey","1991","53","26598","49","6","spotify:track:4vgvqPAvc6Y0BQDa3LUpr8","0.463","0.914","0.0556","https://open.spotify.com/track/4vgvqPAvc6Y0BQDa3LUpr8","https://p.scdn.co/mp3-preview/569295ccec7b2ef9828290217f2a9ba48ffb4505?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"Nobody Else - 1991 Remix","1991","53","26598","31","7","spotify:track:6ioaLgpCqjLFjix7QPW6rG","0.489","0.93","0.047","https://open.spotify.com/track/6ioaLgpCqjLFjix7QPW6rG","https://p.scdn.co/mp3-preview/c6b40668ee381196b62735e4d79c2134b5446812?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"Pleasure","1991","53","26598","46","8","spotify:track:3zC1y2tkfVDFMDEA7lT2Fg","0.431","0.959","0.0609","https://open.spotify.com/track/3zC1y2tkfVDFMDEA7lT2Fg","https://p.scdn.co/mp3-preview/16891e0600155fe6e4c12f21ab708bd4d2d63917?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"Illusions","1991","53","26598","44","9","spotify:track:1x4tc18rSESQQGN7fnf167","0.222","0.897","0.0539","https://open.spotify.com/track/1x4tc18rSESQQGN7fnf167","https://p.scdn.co/mp3-preview/d2f5d4ffd9ae18ee52df3a317dfb3a2b5f1be65a?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"The People - D&B Mix","1991","53","26598","43","10","spotify:track:6cf1y57PEwzx2ETAyvvln1","0.526","0.943","0.0566","https://open.spotify.com/track/6cf1y57PEwzx2ETAyvvln1","https://p.scdn.co/mp3-preview/e6355af8dc2746e92996abe4b4444640cb85acc1?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/2IP71LH7CbwddhsEXBI0fy","https://i.scdn.co/image/ab6761610000e5ebe053c8e13ae389e013f2f14f"
"DOPE","4B","49","70917","54","1","spotify:track:4kfJjBolZLPkfDxRYbibf7","0.444","0.964","0.385","https://open.spotify.com/track/4kfJjBolZLPkfDxRYbibf7","https://p.scdn.co/mp3-preview/c2e090ee49267a011e6ebfe16a24f89bfa94b973?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Pop Dat","4B","49","70917","50","2","spotify:track:5mvXiroNv8swMbCaKOwuuN","0.63","0.851","0.319","https://open.spotify.com/track/5mvXiroNv8swMbCaKOwuuN","https://p.scdn.co/mp3-preview/1250f3e6fe78f780a3b87fb55c9e2f7fb69fc17a?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Lucid (with Austin Mahone & Abraham Mateo)","4B","49","70917","50","3","spotify:track:3W4xzk7zt5Z3OrAE47pmYf","0.641","0.45","0.0383","https://open.spotify.com/track/3W4xzk7zt5Z3OrAE47pmYf","https://p.scdn.co/mp3-preview/7e5601fe2fee064a2fe26186b5699a7e36c20d32?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Bang Bang","4B","49","70917","48","4","spotify:track:1qQt85owTaCya2rQPb52Lv","0.811","0.941","0.144","https://open.spotify.com/track/1qQt85owTaCya2rQPb52Lv","https://p.scdn.co/mp3-preview/9e853c3c0ecfcee7a55bdc7a7572de0550c6f44e?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Did You","4B","49","70917","48","5","spotify:track:6yTokCG9JQPtCyIJQXc26R","0.566","0.816","0.189","https://open.spotify.com/track/6yTokCG9JQPtCyIJQXc26R","https://p.scdn.co/mp3-preview/e751680fdcdcbbbc103c928dada128750554c23b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Blackout","4B","49","70917","46","6","spotify:track:2Icn6jwKorXJjX3FzaqEbP","0.776","0.822","0.157","https://open.spotify.com/track/2Icn6jwKorXJjX3FzaqEbP","https://p.scdn.co/mp3-preview/17444e7ffe1f831b913c9889d9c283e2801ca788?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"The Mop","4B","49","70917","43","7","spotify:track:07SGfN6FWQT4m0xrcxjIqp","0.847","0.324","0.665","https://open.spotify.com/track/07SGfN6FWQT4m0xrcxjIqp","https://p.scdn.co/mp3-preview/fa8b140892ff50b144250f37064f3439c6652313?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Love Is Dead","4B","49","70917","42","8","spotify:track:1f11Vwl6LXUXTKUuZpt4se","0.448","0.805","0.0583","https://open.spotify.com/track/1f11Vwl6LXUXTKUuZpt4se","https://p.scdn.co/mp3-preview/f62199cc062e74f3f696af6ea9269d194ee39b4e?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Middle - 4B Remix","4B","49","70917","41","9","spotify:track:3pvmxgEalEj7KKROvY8yTu","0.655","0.823","0.0973","https://open.spotify.com/track/3pvmxgEalEj7KKROvY8yTu","nan","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Going Nowhere","4B","49","70917","41","10","spotify:track:1a9VIDVGr7rF2eNPQX9zIy","0.64","0.818","0.26","https://open.spotify.com/track/1a9VIDVGr7rF2eNPQX9zIy","https://p.scdn.co/mp3-preview/331369a13bb2a1852b4cfa9d8a8e00cd1b6149e1?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Heads Will Roll - A-Trak Remix","A-Trak","66","120412","66","1","spotify:track:2idmlkd8oUaQvYEtINpLBX","0.744","0.614","0.0838","https://open.spotify.com/track/2idmlkd8oUaQvYEtINpLBX","nan","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Ask Me","A-Trak","66","120412","60","2","spotify:track:05QGJav2nGJ9qdQ3vG9A9t","0.803","0.935","0.032","https://open.spotify.com/track/05QGJav2nGJ9qdQ3vG9A9t","https://p.scdn.co/mp3-preview/407bfb04ec155fbce681e526c4d882d73c655776?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Prayers Up (feat. Travis Scott & A-Trak)","A-Trak","66","120412","59","3","spotify:track:4KaIJ1FWXUoAAnOts1YWjD","0.821","0.637","0.161","https://open.spotify.com/track/4KaIJ1FWXUoAAnOts1YWjD","https://p.scdn.co/mp3-preview/dd84e9dc18b425c3a70366b219e87643c7680b44?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"Nobody Else - A-Trak Remix","A-Trak","66","120412","49","4","spotify:track:49FgzQTuNMYzhIHpVPBcca","0.872","0.687","0.0813","https://open.spotify.com/track/49FgzQTuNMYzhIHpVPBcca","https://p.scdn.co/mp3-preview/70f0b368c7ee88b410b7520d994c302b70b0500b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
