"name","followers","popularity","genres","uri","url","image"
"Adrenalize","32954","51","classic hardstyle| euphoric hardstyle| hardstyle| rawstyle","spotify:artist:6GebWeCCtey5pbQepRYD6c","https://open.spotify.com/artist/6GebWeCCtey5pbQepRYD6c","https://i.scdn.co/image/ab6761610000e5eb7a056538bac6ad76ad74460c"
"Audiofreq","25878","45","classic hardstyle| euphoric hardstyle| hardstyle| rawstyle","spotify:artist:0hHKtZEXHNsXfgrNgU7Zkl","https://open.spotify.com/artist/0hHKtZEXHNsXfgrNgU7Zkl","https://i.scdn.co/image/ab6761610000e5ebc5aed2bf6b0cb022ca5278e7"
"Aweminus","25096","38","dubstep| gaming dubstep| riddim dubstep","spotify:artist:3sS9RKjrDJMl7zpG3cWHk7","https://open.spotify.com/artist/3sS9RKjrDJMl7zpG3cWHk7","https://i.scdn.co/image/ab6761610000e5ebddbcf9ddb6c0f7523d52438e"
"Barely Alive","179207","54","brostep| dubstep| edm| electro house| electronic trap| gaming dubstep| melodic dubstep","spotify:artist:5c3akKV3CUqAVOnGZqf4S3","https://open.spotify.com/artist/5c3akKV3CUqAVOnGZqf4S3","https://i.scdn.co/image/ab6761610000e5eb578eb59ddfebc23be2dcd4c8"
"Bensley","15002","46","dancefloor dnb| drum and bass| electro house| liquid funk","spotify:artist:3SfEKS85dj9v75ROsWJSiL","https://open.spotify.com/artist/3SfEKS85dj9v75ROsWJSiL","https://i.scdn.co/image/ab6761610000e5eb9f045ceef1451d6f0f767aea"
"Boogie T","62994","51","dubstep| electronic trap","spotify:artist:4zlw0jXUzd4dRcqI3Y1OiY","https://open.spotify.com/artist/4zlw0jXUzd4dRcqI3Y1OiY","https://i.scdn.co/image/ab6761610000e5eb8c83e89c5ca473c7d13386f7"
"Brennan Heart","268860","67","classic hardstyle| euphoric hardstyle| rawstyle","spotify:artist:5QySqc6yAFDx9m7fedFZmC","https://open.spotify.com/artist/5QySqc6yAFDx9m7fedFZmC","https://i.scdn.co/image/ab6761610000e5eb1e0762c31c379a99ff59d617"
"Buku","43608","45","bass trap| electronic trap","spotify:artist:0w2QFhEnPG6tLIvkogHbUi","https://open.spotify.com/artist/0w2QFhEnPG6tLIvkogHbUi","https://i.scdn.co/image/ab6761610000e5eb779d7da3dd7d01cd6db264e0"
"Champagne Drip","53791","51","brostep| dubstep| edm| electro house| electronic trap| vapor twitch","spotify:artist:3mVwDyQRNVMy3ZNuTabf6f","https://open.spotify.com/artist/3mVwDyQRNVMy3ZNuTabf6f","https://i.scdn.co/image/ab6761610000e5ebee8d7bd63658a5790778d6fc"
"Code Black","56277","53","classic hardstyle| euphoric hardstyle| rawstyle","spotify:artist:0I5is4tdxHhT3Ft2EzPjlB","https://open.spotify.com/artist/0I5is4tdxHhT3Ft2EzPjlB","https://i.scdn.co/image/ab6761610000e5eb59a03f41d91eda988044f5b0"
"Culture Shock","59875","56","dancefloor dnb| drum and bass| jump up| uk dnb","spotify:artist:6lp2VnIRXXpC9Wz7hSX6RE","https://open.spotify.com/artist/6lp2VnIRXXpC9Wz7hSX6RE","https://i.scdn.co/image/ab6761610000e5eb6d9fad8d7ed3ddecaebfbc1c"
"Darksiderz","2139","27","","spotify:artist:1XwoaxvFx5Y67ZdLQt2TMa","https://open.spotify.com/artist/1XwoaxvFx5Y67ZdLQt2TMa","https://i.scdn.co/image/ab6761610000e5ebf8fc6717f3a9a4bc8ac73c75"
"Darren Styles","94507","64","happy hardcore| hardcore techno","spotify:artist:2gZzTzeACSwFqkMroVxmnm","https://open.spotify.com/artist/2gZzTzeACSwFqkMroVxmnm","https://i.scdn.co/image/ab6761610000e5eb6ec94859874594815b52b478"
"Delta Heavy","134339","55","brostep| drum and bass| edm| electro house","spotify:artist:7GvVTb8yFV0ZrdI30Qce6T","https://open.spotify.com/artist/7GvVTb8yFV0ZrdI30Qce6T","https://i.scdn.co/image/ab6761610000e5ebd07a0ae77fa42fe365af859a"
"Dieselboy","21659","27","drum and bass| neurofunk| stateside dnb","spotify:artist:3eqpqMxtBGLjalyirPxJe3","https://open.spotify.com/artist/3eqpqMxtBGLjalyirPxJe3","https://i.scdn.co/image/ab6761610000e5eb041674436b66651e75aab345"
"Dirt Monkey","57241","46","brostep| dubstep| electro house| electronic trap| filthstep","spotify:artist:5dNqUwGTZcQQ09ecTKkCGH","https://open.spotify.com/artist/5dNqUwGTZcQQ09ecTKkCGH","https://i.scdn.co/image/ab6761610000e5eba3e45314e56b70a08f14b098"
"Anime","70728","49","dark hardcore| gabba| hardcore techno| uptempo hardcore","spotify:artist:6lnEWBl7dhcA1FL5yqRHPO","https://open.spotify.com/artist/6lnEWBl7dhcA1FL5yqRHPO","https://i.scdn.co/image/ab6761610000e5ebb6de9f17135400411d405688"
