"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"Crash 2.0","Adventure Club","59","285819","58","1","spotify:track:3NAGKEkJN7cUTaIYqFnF8l","0.66","0.652","0.0582","https://open.spotify.com/track/3NAGKEkJN7cUTaIYqFnF8l","https://p.scdn.co/mp3-preview/25a2c88ee65ab21baf58d8448709144d738f78f9?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
"High Like This (feat. Dia Frampton)","Adventure Club","59","285819","54","2","spotify:track:7MXOqINrqWgvznuVUTtuML","0.471","0.863","0.0909","https://open.spotify.com/track/7MXOqINrqWgvznuVUTtuML","https://p.scdn.co/mp3-preview/d064614c85b3299b29d65d9967d22134309aa11f?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
"Colorblind (feat. Dayseeker)","Adventure Club","59","285819","51","3","spotify:track:44J9wUVTFIGKmjDJb4e5Oq","0.492","0.567","0.0321","https://open.spotify.com/track/44J9wUVTFIGKmjDJb4e5Oq","https://p.scdn.co/mp3-preview/45c4e9915799bca22e3c1ebfffa0e9bf5ae98405?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
"Gold (feat. Yuna)","Adventure Club","59","285819","56","4","spotify:track:3wjen23Xb9H1kU4V50QyiZ","0.479","0.675","0.0413","https://open.spotify.com/track/3wjen23Xb9H1kU4V50QyiZ","https://p.scdn.co/mp3-preview/70bdb327752271d55ec1b10bbcd12b4a2f2472b3?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
"Away From Myself","Adventure Club","59","285819","45","5","spotify:track:18XJpomvoUmZ4xRSw8akGq","0.479","0.923","0.0475","https://open.spotify.com/track/18XJpomvoUmZ4xRSw8akGq","https://p.scdn.co/mp3-preview/9e27008d2c96b25d79d9b76a80f72803923dae0d?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
"Come Clean (feat. Justin Jesso)","Adventure Club","59","285819","52","6","spotify:track:4PyEdtiTEPNvsNSXPDQDDL","0.63","0.454","0.0333","https://open.spotify.com/track/4PyEdtiTEPNvsNSXPDQDDL","https://p.scdn.co/mp3-preview/3bd374fcfc77452b314f5da62792aac465d8ba5b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
"Next Life (feat. Krewella)","Adventure Club","59","285819","49","7","spotify:track:1s9PSUpePBIkHH1hKjFQ32","0.515","0.788","0.0377","https://open.spotify.com/track/1s9PSUpePBIkHH1hKjFQ32","https://p.scdn.co/mp3-preview/badd41e2668ec42ed8e7c635d3004196004d0084?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
"Wonder (feat. The Kite String Tangle)","Adventure Club","59","285819","50","8","spotify:track:6CLqpL8BvbUH6DI0kLumCR","0.655","0.809","0.0334","https://open.spotify.com/track/6CLqpL8BvbUH6DI0kLumCR","https://p.scdn.co/mp3-preview/3ec5fb621c05492f9203fc5bd4d0cfd97f4ef626?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
"Limitless (feat. Delaney Jane)","Adventure Club","59","285819","50","9","spotify:track:6D1kEYqdY4D3okAOfeKouI","0.511","0.724","0.0495","https://open.spotify.com/track/6D1kEYqdY4D3okAOfeKouI","https://p.scdn.co/mp3-preview/9df7f3bd72343c984fde65ce71055b0cf208ad9b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
"Safe With Me (feat. Luma)","Adventure Club","59","285819","41","10","spotify:track:2h56H2eqNHW3AcdvBWJfin","0.359","0.746","0.049","https://open.spotify.com/track/2h56H2eqNHW3AcdvBWJfin","https://p.scdn.co/mp3-preview/fdd359f8b0e9a8d8f6ad0273508e41ee13acfc1c?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/5CdJjUi9f0cVgo9nFuJrFa","https://i.scdn.co/image/ab6761610000e5eb40baef401cb7f5c6511771bc"
