"name","followers","popularity","genres","uri","url","image"
"Armin van Buuren","4099581","74","dutch trance| edm| pop dance| progressive house| trance","spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"Big Gigantic","242033","56","edm| electronic trap| electropop| indie poptimism| vapor twitch","spotify:artist:7o7mC95EDbJKTcPAAs8C3r","https://open.spotify.com/artist/7o7mC95EDbJKTcPAAs8C3r","https://i.scdn.co/image/ab6761610000e5ebed3f89332136e5cb66e263d3"
"Carl Cox","671000","53","house| schranz| tech house| uk tech house","spotify:artist:19SmlbABtI4bXz864MLqOS","https://open.spotify.com/artist/19SmlbABtI4bXz864MLqOS","https://i.scdn.co/image/ab6761610000e5eb173547d2b3414f741bb7b615"
"Claude VonStroke","115281","45","bass house| electro house| house| microhouse| minimal techno","spotify:artist:5CYAFhywQTXdZmppCp0ukd","https://open.spotify.com/artist/5CYAFhywQTXdZmppCp0ukd","https://i.scdn.co/image/ab6761610000e5ebb29b0766de337516e7f37a55"
"CloZee","167043","52","downtempo bass| electra| vapor twitch","spotify:artist:1496XxkytEk26FUJLfpVZr","https://open.spotify.com/artist/1496XxkytEk26FUJLfpVZr","https://i.scdn.co/image/ab6761610000e5eb922bbbcf683531b74a29242a"
"Eric Prydz","514282","63","disco house| edm| electro house| house| pop dance| progressive house| vocal house","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","https://open.spotify.com/artist/5sm0jQ1mq0dusiLtDJ2b4R","https://i.scdn.co/image/ab6761610000e5eb4170f1e4c72c0a9fc2eddc1d"
"Ganja White Night","172969","52","edm| electro house| electronic trap","spotify:artist:1a6oIpEh4DGgaqgWg5xwd3","https://open.spotify.com/artist/1a6oIpEh4DGgaqgWg5xwd3","https://i.scdn.co/image/ab6761610000e5eb6a093f3ca0f5e122e964b590"
"Grimes","1748133","68","art pop| canadian electropop| dance pop| electropop| grave wave| indietronica| metropopolis| pop","spotify:artist:053q0ukIDRgzwTr4vNSwab","https://open.spotify.com/artist/053q0ukIDRgzwTr4vNSwab","https://i.scdn.co/image/ab6761610000e5eb34771f759ca81a422f5f2b57"
"Gryffin","850064","73","dance pop| edm| pop| pop dance| tropical house","spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh","https://open.spotify.com/artist/2ZRQcIgzPCVaT9XKhXZIzh","https://i.scdn.co/image/ab6761610000e5eb0f3499f20d1792b93ea414e1"
"Hardwell","3641612","65","big room| dance pop| dutch house| edm| electro house| pop dance| progressive electro house| progressive house| tropical house","spotify:artist:6BrvowZBreEkXzJQMpL174","https://open.spotify.com/artist/6BrvowZBreEkXzJQMpL174","https://i.scdn.co/image/ab6761610000e5eb1cbb1805834e1767a18a328b"
"HI-LO","93647","53","electro house| house","spotify:artist:0ETJQforv5OXgDgidQv9qd","https://open.spotify.com/artist/0ETJQforv5OXgDgidQv9qd","https://i.scdn.co/image/ab6761610000e5ebcee646ba7aff64ce01c83329"
"Kayzo","189499","56","brostep| dubstep| edm| electro house| electronic trap","spotify:artist:72iCiKwu6nu6Qq9emIwzYv","https://open.spotify.com/artist/72iCiKwu6nu6Qq9emIwzYv","https://i.scdn.co/image/ab6761610000e5eb54807cfe114cf244435170a3"
"Kx5","24752","59","","spotify:artist:2avRYQUWQpIkzJOEkf0MdY","https://open.spotify.com/artist/2avRYQUWQpIkzJOEkf0MdY","https://i.scdn.co/image/ab6761610000e5eb16bc0e61912361e0880f17a2"
"Martin Garrix","15618134","76","dance pop| dutch edm| edm| pop| pop dance| progressive house| tropical house","spotify:artist:60d24wfXkVzDSfLS6hyCjZ","https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ","https://i.scdn.co/image/ab6761610000e5eb66d17ee8690d2e8d94ee7387"
"NGHTMRE","432936","63","brostep| edm| electro house| electronic trap| pop dance","spotify:artist:76M2Ekj8bG8W7X2nbx2CpF","https://open.spotify.com/artist/76M2Ekj8bG8W7X2nbx2CpF","https://i.scdn.co/image/ab6761610000e5eb466d14e7d8546d3b51368157"
"Oliver Heldens","964995","69","dance pop| edm| electro house| future house| house| pop dance| progressive electro house| progressive house| tropical house","spotify:artist:5nki7yRhxgM509M5ADlN1p","https://open.spotify.com/artist/5nki7yRhxgM509M5ADlN1p","https://i.scdn.co/image/ab6761610000e5eb7ac8d51e0117b2e331aa38aa"
