"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"One More Time","Armin van Buuren","74","4099581","69","1","spotify:track:1lXyxleB814ehGUXzsWNXu","0.579","0.761","0.0509","https://open.spotify.com/track/1lXyxleB814ehGUXzsWNXu","https://p.scdn.co/mp3-preview/ccb3a42f1e2f1dcd6976331bdf8eeeeb27bbda63?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"Blah Blah Blah","Armin van Buuren","74","4099581","66","2","spotify:track:1moFkZDqcjQNeXtyoanLHv","0.612","0.963","0.0531","https://open.spotify.com/track/1moFkZDqcjQNeXtyoanLHv","https://p.scdn.co/mp3-preview/4149bd30a4a078a99fbc962879692eb65d358be2?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"This Is What It Feels Like","Armin van Buuren","74","4099581","67","3","spotify:track:5GjnIpUlLGEIYk052ISOw9","0.551","0.833","0.03","https://open.spotify.com/track/5GjnIpUlLGEIYk052ISOw9","https://p.scdn.co/mp3-preview/2feeb727fcb145575c525edcdbf9dfe787968094?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"Great Spirit","Armin van Buuren","74","4099581","66","4","spotify:track:3Nku6gLNqnwUuq8GLkqyhW","0.592","0.911","0.0659","https://open.spotify.com/track/3Nku6gLNqnwUuq8GLkqyhW","https://p.scdn.co/mp3-preview/adaee5538e4be14eee1532878d91ed1a8b5920e6?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"Come Around Again","Armin van Buuren","74","4099581","62","5","spotify:track:5pr0RW6itk3yEfJHkg4DIF","0.589","0.912","0.0766","https://open.spotify.com/track/5pr0RW6itk3yEfJHkg4DIF","https://p.scdn.co/mp3-preview/238780b0918a72b369c622beb2ceef04ea4fcb71?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"Leave A Little Love","Armin van Buuren","74","4099581","64","6","spotify:track:5pmbZWt1lYVMvZ12MSdtqF","0.671","0.855","0.0375","https://open.spotify.com/track/5pmbZWt1lYVMvZ12MSdtqF","https://p.scdn.co/mp3-preview/064ec2a24380109d726f598489b7ed29bcb07a0b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"Love We Lost (with R3HAB)","Armin van Buuren","74","4099581","54","7","spotify:track:3ADl2kvyEaYmL2jMrHgIot","0.651","0.783","0.0501","https://open.spotify.com/track/3ADl2kvyEaYmL2jMrHgIot","https://p.scdn.co/mp3-preview/d97c1f55e3db9953b4b639da5e79e55c0ec5f632?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"No Fun","Armin van Buuren","74","4099581","62","8","spotify:track:08Cz11QoQysCqgDONUVXmL","0.731","0.904","0.0349","https://open.spotify.com/track/08Cz11QoQysCqgDONUVXmL","https://p.scdn.co/mp3-preview/bcac012146e3c892d69676928b3a4aa27e2711f7?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"Superman","Armin van Buuren","74","4099581","62","9","spotify:track:2HXX7sAKE71YbJ5Wysju9e","0.403","0.884","0.126","https://open.spotify.com/track/2HXX7sAKE71YbJ5Wysju9e","https://p.scdn.co/mp3-preview/8b1fcda754401a87daca122d55494c8ad7132776?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
"Forever & Always","Armin van Buuren","74","4099581","61","10","spotify:track:0moqpuDhgttCjbCW9eYtNq","0.58","0.921","0.0463","https://open.spotify.com/track/0moqpuDhgttCjbCW9eYtNq","https://p.scdn.co/mp3-preview/699f5cea8e9329ec7b88d1aa322519a5d4ba544b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5eb9fd1a1de7824abce0db4c558"
