"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"DOPE","4B","49","70917","54","1","spotify:track:4kfJjBolZLPkfDxRYbibf7","0.444","0.964","0.385","https://open.spotify.com/track/4kfJjBolZLPkfDxRYbibf7","https://p.scdn.co/mp3-preview/c2e090ee49267a011e6ebfe16a24f89bfa94b973?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Pop Dat","4B","49","70917","50","2","spotify:track:5mvXiroNv8swMbCaKOwuuN","0.63","0.851","0.319","https://open.spotify.com/track/5mvXiroNv8swMbCaKOwuuN","https://p.scdn.co/mp3-preview/1250f3e6fe78f780a3b87fb55c9e2f7fb69fc17a?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Lucid (with Austin Mahone & Abraham Mateo)","4B","49","70917","50","3","spotify:track:3W4xzk7zt5Z3OrAE47pmYf","0.641","0.45","0.0383","https://open.spotify.com/track/3W4xzk7zt5Z3OrAE47pmYf","https://p.scdn.co/mp3-preview/7e5601fe2fee064a2fe26186b5699a7e36c20d32?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Bang Bang","4B","49","70917","48","4","spotify:track:1qQt85owTaCya2rQPb52Lv","0.811","0.941","0.144","https://open.spotify.com/track/1qQt85owTaCya2rQPb52Lv","https://p.scdn.co/mp3-preview/9e853c3c0ecfcee7a55bdc7a7572de0550c6f44e?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Did You","4B","49","70917","48","5","spotify:track:6yTokCG9JQPtCyIJQXc26R","0.566","0.816","0.189","https://open.spotify.com/track/6yTokCG9JQPtCyIJQXc26R","https://p.scdn.co/mp3-preview/e751680fdcdcbbbc103c928dada128750554c23b?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Blackout","4B","49","70917","46","6","spotify:track:2Icn6jwKorXJjX3FzaqEbP","0.776","0.822","0.157","https://open.spotify.com/track/2Icn6jwKorXJjX3FzaqEbP","https://p.scdn.co/mp3-preview/17444e7ffe1f831b913c9889d9c283e2801ca788?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"The Mop","4B","49","70917","43","7","spotify:track:07SGfN6FWQT4m0xrcxjIqp","0.847","0.324","0.665","https://open.spotify.com/track/07SGfN6FWQT4m0xrcxjIqp","https://p.scdn.co/mp3-preview/fa8b140892ff50b144250f37064f3439c6652313?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Love Is Dead","4B","49","70917","42","8","spotify:track:1f11Vwl6LXUXTKUuZpt4se","0.448","0.805","0.0583","https://open.spotify.com/track/1f11Vwl6LXUXTKUuZpt4se","https://p.scdn.co/mp3-preview/f62199cc062e74f3f696af6ea9269d194ee39b4e?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Middle - 4B Remix","4B","49","70917","41","9","spotify:track:3pvmxgEalEj7KKROvY8yTu","0.655","0.823","0.0973","https://open.spotify.com/track/3pvmxgEalEj7KKROvY8yTu","nan","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Going Nowhere","4B","49","70917","41","10","spotify:track:1a9VIDVGr7rF2eNPQX9zIy","0.64","0.818","0.26","https://open.spotify.com/track/1a9VIDVGr7rF2eNPQX9zIy","https://p.scdn.co/mp3-preview/331369a13bb2a1852b4cfa9d8a8e00cd1b6149e1?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Always Do","Above & Beyond","67","703251","59","1","spotify:track:4kmQXH4GI0AhNs71HytnXw","0.587","0.978","0.048","https://open.spotify.com/track/4kmQXH4GI0AhNs71HytnXw","https://p.scdn.co/mp3-preview/c5174d99b452fb75be2647c990a0fc0c8b329d42?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"Believer - Marsh's Guatape Remix","Above & Beyond","67","703251","59","2","spotify:track:1GHOLip5jcgRIBqd8QUx7N","0.788","0.786","0.0381","https://open.spotify.com/track/1GHOLip5jcgRIBqd8QUx7N","https://p.scdn.co/mp3-preview/dfebc1db08204e10ad888b7e4ec3721b181856ef?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"Blue Monday","Above & Beyond","67","703251","58","3","spotify:track:5dXZhZbDHWu6zwXkssFQcs","0.649","0.893","0.0349","https://open.spotify.com/track/5dXZhZbDHWu6zwXkssFQcs","https://p.scdn.co/mp3-preview/b732a547c2cc89b55f0bc055b56666752b113223?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"Strength From Inside","Above & Beyond","67","703251","56","4","spotify:track:3MC9nswECDn5zuqkFQG1sB","0.171","0.189","0.037","https://open.spotify.com/track/3MC9nswECDn5zuqkFQG1sB","https://p.scdn.co/mp3-preview/41b3dfcd086c4ca4151554bf65b6811418358cd8?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"Screwdriver","Above & Beyond","67","703251","55","5","spotify:track:57Gc56jQqwtDAEq7gTAXW9","0.545","0.888","0.0351","https://open.spotify.com/track/57Gc56jQqwtDAEq7gTAXW9","https://p.scdn.co/mp3-preview/529b3c24eb118211668a0e13b23110da24d27e11?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"We're All We Need","Above & Beyond","67","703251","55","6","spotify:track:7jji8nfxJ84AJkUSpgruPL","0.565","0.484","0.0424","https://open.spotify.com/track/7jji8nfxJ84AJkUSpgruPL","https://p.scdn.co/mp3-preview/65a965b2ca6439cca6c6d73b19730076ceee12ca?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"Almost Home - MitiS Remix","Above & Beyond","67","703251","55","7","spotify:track:2ddJ5eXea7HzGwAC745jOr","0.47","0.783","0.0366","https://open.spotify.com/track/2ddJ5eXea7HzGwAC745jOr","https://p.scdn.co/mp3-preview/2359ef8d1f27712f2d4a1977d44dc18d7fe4d7cb?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"See The End","Above & Beyond","67","703251","55","8","spotify:track:1dDDVfAfms7M6VLLKmubaJ","0.497","0.656","0.0374","https://open.spotify.com/track/1dDDVfAfms7M6VLLKmubaJ","https://p.scdn.co/mp3-preview/1befcefb3a1a64eaec083d11dac51e0a9550e8ae?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"Sun & Moon - Original Mix","Above & Beyond","67","703251","55","9","spotify:track:4rfhAoZjGwraqwX1w47uij","0.682","0.524","0.0918","https://open.spotify.com/track/4rfhAoZjGwraqwX1w47uij","https://p.scdn.co/mp3-preview/4b901a2e17ae6a20999a3492db474783a06083d0?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"Night Light","Above & Beyond","67","703251","54","10","spotify:track:00mZmQ1kdWxmRtEA3A9olx","0.211","0.0478","0.0506","https://open.spotify.com/track/00mZmQ1kdWxmRtEA3A9olx","https://p.scdn.co/mp3-preview/a890e5b9b1ed0598e0f7c1eb19a1a413fc3bdc53?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"Haven't You Heard - Fitzy's Half Charged Mix","Alan Fitzpatrick","53","125499","57","1","spotify:track:1b0e8KK2tIgMkT2tub9M93","0.828","0.903","0.0935","https://open.spotify.com/track/1b0e8KK2tIgMkT2tub9M93","https://p.scdn.co/mp3-preview/e4afa8cc4a5d6fd90efb0ebf95cd2352c7cb2c08?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/40JyDxGqtYSowWYT2jaive","https://i.scdn.co/image/ab6761610000e5eba278ea484da4e5b1a9862991"
"We Do What We Want","Alan Fitzpatrick","53","125499","57","2","spotify:track:18DjkS5pjqCBROtTVH4GK6","0.77","0.966","0.0422","https://open.spotify.com/track/18DjkS5pjqCBROtTVH4GK6","https://p.scdn.co/mp3-preview/777a186c5b391e7e842513c9c63b594822599496?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/40JyDxGqtYSowWYT2jaive","https://i.scdn.co/image/ab6761610000e5eba278ea484da4e5b1a9862991"
"Flashing Lights","Alan Fitzpatrick","53","125499","49","3","spotify:track:7B5NyuAKnhLj0aasbRpaIp","0.608","0.936","0.0559","https://open.spotify.com/track/7B5NyuAKnhLj0aasbRpaIp","https://p.scdn.co/mp3-preview/87979b7e463aff03912042cf196146edb6e4c9b3?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/40JyDxGqtYSowWYT2jaive","https://i.scdn.co/image/ab6761610000e5eba278ea484da4e5b1a9862991"
