"name","followers","popularity","genres","uri","url","image"
"070 Shake","322772","67","alternative r&b| new jersey rap","spotify:artist:12Zk1DFhCbHY6v3xep2ZjI","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"ABSOLUTE.","3510","39","","spotify:artist:7LAUsmZK0QfpJAmapct66h","https://open.spotify.com/artist/7LAUsmZK0QfpJAmapct66h","https://i.scdn.co/image/ab6761610000e5eb795aaabb80093e89ba9d381e"
"Adam Beyer","262313","51","dark techno| minimal techno| raw techno| schranz| swedish electronic| swedish techno| techno","spotify:artist:1btv9qmIpbp7q1ixCYNdHu","https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu","https://i.scdn.co/image/ab6761610000e5ebe91f9b9a5ee593b2d5f77032"
"Alex Wax","93","3","","spotify:artist:7noLoT7NlxsQ1wS0XPMw4R","https://open.spotify.com/artist/7noLoT7NlxsQ1wS0XPMw4R","https://i.scdn.co/image/ab6761610000e5eb47ad5f89dd12d390bce838c5"
"Blu DeTiger","75758","54","","spotify:artist:5NyCIBCeU080ynEj33S4hC","https://open.spotify.com/artist/5NyCIBCeU080ynEj33S4hC","https://i.scdn.co/image/ab6761610000e5eb6468ba0707707619541d1cf0"
"Bontan","15656","38","uk house","spotify:artist:1tZgoMqNTa7lII4w9pV3ud","https://open.spotify.com/artist/1tZgoMqNTa7lII4w9pV3ud","https://i.scdn.co/image/ab6761610000e5ebf168ac602247f33d93eeffb8"
"Cautious Clay","213062","67","alternative r&b| chill r&b| indie r&b| nyc pop","spotify:artist:6iWuBN32BqCJAeXW6o3nil","https://open.spotify.com/artist/6iWuBN32BqCJAeXW6o3nil","https://i.scdn.co/image/ab6761610000e5eb4041f485c1cb2a8df48d1dd2"
"Chet Faker","256753","66","art pop| indietronica","spotify:artist:6UcJxoeHWWWyT5HZP064om","https://open.spotify.com/artist/6UcJxoeHWWWyT5HZP064om","https://i.scdn.co/image/ab6761610000e5ebfe94b7c070a5bab00a1cae6b"
"Cristoph","44695","59","house| progressive house| tech house","spotify:artist:532SqCIYmJyXEdEiCJLgYG","https://open.spotify.com/artist/532SqCIYmJyXEdEiCJLgYG","https://i.scdn.co/image/ab6761610000e5ebdd0f7807f9e08c239645729b"
"Dan Shake","11638","35","disco house| float house| jazz house","spotify:artist:7wxLYZxFPf1HWPIaGesxAg","https://open.spotify.com/artist/7wxLYZxFPf1HWPIaGesxAg","https://i.scdn.co/image/ab6761610000e5eba518a398d4c7b5aefe350669"
"Danilo Plessow","959","35","","spotify:artist:3frW3pRt2IpKAysgM8ksle","https://open.spotify.com/artist/3frW3pRt2IpKAysgM8ksle","https://i.scdn.co/image/ab67616d0000b2735835c4965b6ad418d2603d4d"
"Deep Dish","63530","43","diva house| tribal house","spotify:artist:720JYpdCgHuTmDeryW0wEA","https://open.spotify.com/artist/720JYpdCgHuTmDeryW0wEA","https://i.scdn.co/image/b7d6c9093e6b1f0b22a6e50decf55481f8ef9616"
"Eli Brown","42860","59","bass house| deep groove house| deep house| house","spotify:artist:5lVNSw2GPci8kebrAQpZqU","https://open.spotify.com/artist/5lVNSw2GPci8kebrAQpZqU","https://i.scdn.co/image/ab6761610000e5eb0f9b9210b2276c1268ece518"
"Felix Da Housecat","74572","56","acid house| alternative dance| chicago house| electroclash| electronica| new rave","spotify:artist:4rC8J4M4aOqsQSCP4yoyJI","https://open.spotify.com/artist/4rC8J4M4aOqsQSCP4yoyJI","https://i.scdn.co/image/ab6761610000e5ebfeb5e040cf455ac68bf1f634"
"Four Tet","574285","64","alternative dance| electronica| folktronica| indie soul| intelligent dance music","spotify:artist:7Eu1txygG6nJttLHbZdQOh","https://open.spotify.com/artist/7Eu1txygG6nJttLHbZdQOh","https://i.scdn.co/image/ab6761610000e5eb84e29d09b4917bec2700a0d7"
"Franc Moody","108600","59","indie soul| new french touch| nu disco","spotify:artist:10GT4yz8c6xjjnPGtGPI1l","https://open.spotify.com/artist/10GT4yz8c6xjjnPGtGPI1l","https://i.scdn.co/image/ab6761610000e5eb7461c229723b6a0f042ae935"
"Get Real","4186","32","","spotify:artist:6zWcx7zef8u7NfAVhe6iql","https://open.spotify.com/artist/6zWcx7zef8u7NfAVhe6iql","https://i.scdn.co/image/ab67616d0000b2734821d2f503cbe38922495128"
"Glass Animals","2527666","87","gauze pop| indietronica| shiver pop","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq","https://i.scdn.co/image/ab6761610000e5eb66b27eccb69756f8eceabc23"
"Gorgon City","390889","69","deep groove house| edm| future garage| house| pop dance| tropical house| uk dance","spotify:artist:4VNQWV2y1E97Eqo2D5UTjx","https://open.spotify.com/artist/4VNQWV2y1E97Eqo2D5UTjx","https://i.scdn.co/image/ab6761610000e5eb91470284b60c9b94903a5536"
"Hammer","8348","36","scottish techno| uk house","spotify:artist:3KtaBB3asBs44O4h3xx2V0","https://open.spotify.com/artist/3KtaBB3asBs44O4h3xx2V0","https://i.scdn.co/image/ab6761610000e5ebc0c1c4aff96ba5618138e1b7"
"Helena Hauff","44452","30","electra","spotify:artist:1JcefSOP7bcWEluL0iEIaN","https://open.spotify.com/artist/1JcefSOP7bcWEluL0iEIaN","https://i.scdn.co/image/05e40c509f6d5541c249bb08832dce072363b9d3"
"Ilario Alicante","69861","38","minimal techno| tech house","spotify:artist:4dCGOzY3HL7dZnQ8XU7DDD","https://open.spotify.com/artist/4dCGOzY3HL7dZnQ8XU7DDD","https://i.scdn.co/image/ab6761610000e5ebc854e679cc34b0ec8f37b048"
"Jeff Mills","121549","36","afrofuturism| detroit techno| minimal techno| techno","spotify:artist:2eIDAcLKnWc4D350YyzvgS","https://open.spotify.com/artist/2eIDAcLKnWc4D350YyzvgS","https://i.scdn.co/image/0c5d1e13d9ee879ad10da05fca074969e057c284"
