"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"Guilty Conscience","070 Shake","67","322772","70","1","0.539","0.638","0.136","https://open.spotify.com/track/0smgkpVia3VCXgY4qhVJvp","nan","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Honey","070 Shake","67","322772","65","2","0.696","0.667","0.0407","https://open.spotify.com/track/0PoMoPqIJxe6H0rDMnpGP8","https://p.scdn.co/mp3-preview/a5771300d3968a2b2bbcf9b4c0950f2b492c46a1?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Guilty Conscience - Tame Impala Remix","070 Shake","67","322772","64","3","0.415","0.878","0.32","https://open.spotify.com/track/5i5fCpsnqDJ9AfeObgd0gW","nan","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Morrow","070 Shake","67","322772","62","4","0.742","0.666","0.0353","https://open.spotify.com/track/3sIoWQZbJqUKj5iELz8eTA","nan","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Neo Surf","070 Shake","67","322772","61","5","0.639","0.62","0.0291","https://open.spotify.com/track/6XmT8fIEfcS3ZSVEz00U7m","nan","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Glitter","070 Shake","67","322772","60","6","0.672","0.622","0.143","https://open.spotify.com/track/4DJ9ZxVFyv8AWdBmZnV0CN","nan","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Lose My Cool (feat. NLE Choppa)","070 Shake","67","322772","60","7","0.762","0.633","0.0676","https://open.spotify.com/track/31UJNSt6tUbROThjfaAZfT","nan","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Under The Moon","070 Shake","67","322772","58","8","0.761","0.615","0.0399","https://open.spotify.com/track/2IN5IspnDC534fzg16WtWF","nan","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Use Me (feat. 070 Shake)","070 Shake","67","322772","58","9","0.315","0.618","0.053","https://open.spotify.com/track/6gqZzQyJfKqdc9boOILz4x","https://p.scdn.co/mp3-preview/e5b7cb6bcb2a52c29518aeafa983d09e1287a2a8?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Nice To Have","070 Shake","67","322772","52","10","0.698","0.473","0.0456","https://open.spotify.com/track/3TrvMKpRrjbfsgbqp8WIBu","nan","https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI","https://i.scdn.co/image/ab6761610000e5eba4fe9e7039edf6c60113e741"
"Icaro - ABSOLUTE. Neon Energy Remix","ABSOLUTE.","39","3510","10","1","0.721","0.812","0.0423","https://open.spotify.com/track/1HEd12Ca0vURsoMsxoHHAA","https://p.scdn.co/mp3-preview/9df31be56d194720949a0a2a68b58a3b2f38cd50?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/7LAUsmZK0QfpJAmapct66h","https://i.scdn.co/image/ab6761610000e5eb795aaabb80093e89ba9d381e"
"Fauna","ABSOLUTE.","39","3510","23","2","0.538","0.955","0.0349","https://open.spotify.com/track/7kkqnbOgjPXbq7m3jL9afW","https://p.scdn.co/mp3-preview/5564d2e40a43ef94dbfb722ac7a46290c7cf2ae7?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/7LAUsmZK0QfpJAmapct66h","https://i.scdn.co/image/ab6761610000e5eb795aaabb80093e89ba9d381e"
"Piano Theory","ABSOLUTE.","39","3510","34","3","0.522","0.951","0.045","https://open.spotify.com/track/6ZkH0QKPvDayeQUgRd7sL1","https://p.scdn.co/mp3-preview/cbaf4669431da10d1b8864c5d908aed7878b1baa?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/7LAUsmZK0QfpJAmapct66h","https://i.scdn.co/image/ab6761610000e5eb795aaabb80093e89ba9d381e"
"Dämmerung","ABSOLUTE.","39","3510","34","4","0.743","0.849","0.0653","https://open.spotify.com/track/39e01hFGPF3dyn7zUFDXKs","https://p.scdn.co/mp3-preview/8e0a77fa6d22f1c912c7123df3e2d33d0ef4a549?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/7LAUsmZK0QfpJAmapct66h","https://i.scdn.co/image/ab6761610000e5eb795aaabb80093e89ba9d381e"
"String Theory - Edit","ABSOLUTE.","39","3510","32","5","0.703","0.661","0.252","https://open.spotify.com/track/1HofWGTrBHyNf5CqJV9PFf","https://p.scdn.co/mp3-preview/3cc592138b2c0c28a66d3fad3934009e27c76071?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/7LAUsmZK0QfpJAmapct66h","https://i.scdn.co/image/ab6761610000e5eb795aaabb80093e89ba9d381e"
"Sage comme une image - Good as Gold","ABSOLUTE.","39","3510","32","6","0.792","0.873","0.329","https://open.spotify.com/track/2RdqkCm1yEj0V3J7BEYSzT","https://p.scdn.co/mp3-preview/68e0e495f022f5e61ad97e4d70c15a33288f9475?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/7LAUsmZK0QfpJAmapct66h","https://i.scdn.co/image/ab6761610000e5eb795aaabb80093e89ba9d381e"
"This Too Will Pass","ABSOLUTE.","39","3510","30","7","0.439","0.634","0.0467","https://open.spotify.com/track/6yLA6Tzm0JdQ5vp1piD3qF","https://p.scdn.co/mp3-preview/9e8a42ea2f2354b08aefaab29ba8d0d383976d1a?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/7LAUsmZK0QfpJAmapct66h","https://i.scdn.co/image/ab6761610000e5eb795aaabb80093e89ba9d381e"
